uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"8f05b2ad-5e2f-482e-87be-421675122947","BART_003.basePlot.bgc","D01","BART","BART_003","2017-10-03T12:08Z","2018-05-21","soil","BART_003-O-0-11-20171003-GEN","Battelle Applied Genomics","BART_003-O-0-11-20171003-GEN-DNA1",,"BMI_Plate53WellD5","BMI_qPCR_SOP_v5",46.0,"N","ITS","fungi",14.2,0.7,"hZbYwvE98vByp3o7zwpAsg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"12ce6714-ab71-4977-8f4a-e7ab42e60784","BART_003.basePlot.bgc","D01","BART","BART_003","2017-10-03T12:08Z","2018-05-22","soil","BART_003-O-0-11-20171003-GEN","Battelle Applied Genomics","BART_003-O-0-11-20171003-GEN-DNA1",,"BMI_Plate53WellD5","BMI_qPCR_SOP_v5",46.0,"N","16S","bacteria and archaea",19934.1,4722.1,"rxnG2CiGqmvQL0wI6EKm8A==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"c4dd0d3e-5192-46e5-987b-e087a19e2309","BART_003.basePlot.bgc","D01","BART","BART_003","2017-10-03T12:23Z","2018-05-23","soil","BART_003-O-36.5-19.5-20171003-GEN","Battelle Applied Genomics","BART_003-O-36.5-19.5-20171003-GEN-DNA1",,"BMI_Plate53WellD9","BMI_qPCR_SOP_v5",86.0,"N","16S","bacteria and archaea",54924.3,9432.6,"rxnG2CiGqmvQL0wI6EKm8A==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"b9b99272-414e-4e03-9fdb-e37a7b669ecc","BART_003.basePlot.bgc","D01","BART","BART_003","2017-10-03T12:23Z","2018-05-21","soil","BART_003-O-36.5-19.5-20171003-GEN","Battelle Applied Genomics","BART_003-O-36.5-19.5-20171003-GEN-DNA1",,"BMI_Plate53WellD9","BMI_qPCR_SOP_v5",86.0,"N","ITS","fungi",47.2,4.2,"hZbYwvE98vByp3o7zwpAsg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"503d47e0-8bbe-43a4-99fa-23472dc616b6","BART_003.basePlot.bgc","D01","BART","BART_003","2017-10-03T12:50Z","2018-05-23","soil","BART_003-O-33.5-22-20171003-GEN","Battelle Applied Genomics","BART_003-O-33.5-22-20171003-GEN-DNA1",,"BMI_Plate53WellD8","BMI_qPCR_SOP_v5",0.0,"N","16S","bacteria and archaea",685594.3,20016.6,"rxnG2CiGqmvQL0wI6EKm8A==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"ad7531fd-3d88-4ced-abb1-77501bb960bf","BART_003.basePlot.bgc","D01","BART","BART_003","2017-10-03T12:50Z","2018-05-21","soil","BART_003-O-33.5-22-20171003-GEN","Battelle Applied Genomics","BART_003-O-33.5-22-20171003-GEN-DNA1",,"BMI_Plate53WellD8","BMI_qPCR_SOP_v5",0.0,"N","ITS","fungi",38.8,17.8,"hZbYwvE98vByp3o7zwpAsg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"e5edfd75-4a85-493e-b581-64d8dbe608dd","BART_024.basePlot.bgc","D01","BART","BART_024","2017-10-03T13:34Z","2018-05-21","soil","BART_024-O-2-5.5-20171003-GEN","Battelle Applied Genomics","BART_024-O-2-5.5-20171003-GEN-DNA1",,"BMI_Plate53WellF1","BMI_qPCR_SOP_v5",14.0,"N","ITS","fungi",228.0,4.8,"rxnG2CiGqmuSUytwqOQzgQ==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"0e13db47-9467-4aa8-9760-2d0a57f0c704","BART_024.basePlot.bgc","D01","BART","BART_024","2017-10-03T13:34Z","2018-05-22","soil","BART_024-O-2-5.5-20171003-GEN","Battelle Applied Genomics","BART_024-O-2-5.5-20171003-GEN-DNA1",,"BMI_Plate53WellF1","BMI_qPCR_SOP_v5",14.0,"N","16S","bacteria and archaea",155277.1,25227.1,"rxnG2CiGqmvQL0wI6EKm8A==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"c35769c5-5d4a-40c3-a5a5-3ce68e0a51d7","BART_024.basePlot.bgc","D01","BART","BART_024","2017-10-03T14:11Z","2018-08-08","soil","BART_024-O-29.5-3.5-20171003-GEN","Battelle Applied Genomics","BART_024-O-29.5-3.5-20171003-GEN-DNA2",,"BMI_Plate68WellH9","BMI_qPCR_SOP_v6",4.3,"N","16S","bacteria and archaea",12097.6,2217.8,"vMLbKuU6fpHQRZdWLavRHQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"fe10f61d-c156-497c-8b59-c1755d7b0a28","BART_024.basePlot.bgc","D01","BART","BART_024","2017-10-03T14:35Z","2018-05-22","soil","BART_024-O-36.5-31-20171003-GEN","Battelle Applied Genomics","BART_024-O-36.5-31-20171003-GEN-DNA1",,"BMI_Plate53WellF3","BMI_qPCR_SOP_v5",0.0,"N","16S","bacteria and archaea",1604166.0,22205.7,"rxnG2CiGqmvQL0wI6EKm8A==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
