uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"754d3ae6-a22d-4a92-842b-0389d5ccdb76","HARV_034.basePlot.bgc","D01","HARV","HARV_034","2017-10-24T12:10Z","2018-11-14","soil","HARV_034-O-29-5-20171024-GEN","Battelle Applied Genomics","HARV_034-O-29-5-20171024-GEN-DNA1",,"BMI_Plate54WellD10","BMI_qPCR_SOP_v6",3.6,"N","16S","bacteria and archaea",44820.5,6682.8,"EpO2CC/Vy5JdvrXMs+zWXQ==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"ee7dcca7-f1db-4b32-a44b-d86af16258ac","HARV_034.basePlot.bgc","D01","HARV","HARV_034","2017-10-24T12:10Z","2018-05-16","soil","HARV_034-O-29-5-20171024-GEN","Battelle Applied Genomics","HARV_034-O-29-5-20171024-GEN-DNA1",,"BMI_Plate54WellD10","BMI_qPCR_SOP_v5",3.6,"N","ITS","fungi",114.6,12.0,"vMLbKuU6fpFGDhus2H2JJw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"e3ffc149-615f-43a5-af3d-5505c94119a3","HARV_034.basePlot.bgc","D01","HARV","HARV_034","2017-10-24T12:42Z","2018-05-16","soil","HARV_034-O-13.5-36-20171024-GEN","Battelle Applied Genomics","HARV_034-O-13.5-36-20171024-GEN-DNA1",,"BMI_Plate54WellD8","BMI_qPCR_SOP_v5",62.0,"N","16S","bacteria and archaea",62933.6,4962.7,"vMLbKuU6fpFGDhus2H2JJw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"7226eace-50cb-4efa-8961-0415a7d31783","HARV_034.basePlot.bgc","D01","HARV","HARV_034","2017-10-24T13:33Z","2018-05-15","soil","HARV_034-O-7.5-1-20171024-GEN","Battelle Applied Genomics","HARV_034-O-7.5-1-20171024-GEN-DNA1",,"BMI_Plate54WellE1","BMI_qPCR_SOP_v5",67.0,"N","16S","bacteria and archaea",68169.1,5763.9,"hZbYwvE98vAHHdGKcEzstQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"f23e8175-ae24-42a8-8626-efe36ecf8dde","HARV_034.basePlot.bgc","D01","HARV","HARV_034","2017-10-24T13:33Z","2018-05-17","soil","HARV_034-O-7.5-1-20171024-GEN","Battelle Applied Genomics","HARV_034-O-7.5-1-20171024-GEN-DNA1",,"BMI_Plate54WellE1","BMI_qPCR_SOP_v5",67.0,"N","ITS","fungi",83.6,9.7,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"77e8feda-c5e8-406f-88a2-bf0162410369","HARV_037.basePlot.bgc","D01","HARV","HARV_037","2017-10-24T14:09Z","2018-05-23","soil","HARV_037-O-2.5-22.5-20171024-GEN","Battelle Applied Genomics","HARV_037-O-2.5-22.5-20171024-GEN-DNA1",,"BMI_Plate53WellH7","BMI_qPCR_SOP_v5",11.0,"N","16S","bacteria and archaea",125216.8,5965.2,"rxnG2CiGqmvQL0wI6EKm8A==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"d2523d3a-88fe-414b-a5bd-d84fe8fe9a34","HARV_037.basePlot.bgc","D01","HARV","HARV_037","2017-10-24T14:09Z","2018-05-21","soil","HARV_037-O-2.5-22.5-20171024-GEN","Battelle Applied Genomics","HARV_037-O-2.5-22.5-20171024-GEN-DNA1",,"BMI_Plate53WellH7","BMI_qPCR_SOP_v5",11.0,"N","ITS","fungi",308.7,5.5,"hZbYwvE98vByp3o7zwpAsg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"ab4e4ad9-060d-4e5a-bce1-78fff38cdca1","HARV_035.basePlot.bgc","D01","HARV","HARV_035","2017-10-24T15:37Z","2018-05-15","soil","HARV_035-O-35-10-20171024-GEN","Battelle Applied Genomics","HARV_035-O-35-10-20171024-GEN-DNA1",,"BMI_Plate54WellE5","BMI_qPCR_SOP_v5",34.0,"N","16S","bacteria and archaea",128098.7,16889.8,"hZbYwvE98vAHHdGKcEzstQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"e612c41d-a39f-40b5-bd44-202107c49411","HARV_035.basePlot.bgc","D01","HARV","HARV_035","2017-10-24T15:37Z","2018-05-17","soil","HARV_035-O-35-10-20171024-GEN","Battelle Applied Genomics","HARV_035-O-35-10-20171024-GEN-DNA1",,"BMI_Plate54WellE5","BMI_qPCR_SOP_v5",34.0,"N","ITS","fungi",103.0,4.8,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"05564f51-ea76-4d44-bb25-2a5f952326fb","HARV_035.basePlot.bgc","D01","HARV","HARV_035","2017-10-24T15:54Z","2018-05-15","soil","HARV_035-O-36-35.5-20171024-GEN","Battelle Applied Genomics","HARV_035-O-36-35.5-20171024-GEN-DNA1",,"BMI_Plate54WellE6","BMI_qPCR_SOP_v5",14.0,"N","16S","bacteria and archaea",172366.6,10515.2,"hZbYwvE98vAHHdGKcEzstQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
