uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"15c6e638-3ba9-46b6-b2dd-e9628c755857","SERC_044.basePlot.bgc","D02","SERC","SERC_044","2017-10-30T15:50Z","2018-04-23","soil","SERC_044-M-37.5-17-20171030-GEN","Battelle Applied Genomics","SERC_044-M-37.5-17-20171030-GEN-DNA1",,"BMI_Plate43WellH1","BMI_qPCR_SOP_v5",7.8,"N","ITS","fungi",15.4,1.7,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"3249f86c-4cb2-4901-be49-f869a9a43a76","SERC_044.basePlot.bgc","D02","SERC","SERC_044","2017-10-30T15:50Z","2018-04-18","soil","SERC_044-M-37.5-17-20171030-GEN","Battelle Applied Genomics","SERC_044-M-37.5-17-20171030-GEN-DNA1",,"BMI_Plate43WellH1","BMI_qPCR_SOP_v5",7.8,"N","16S","bacteria and archaea",100892.5,9693.1,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"d647f2fc-c553-4843-8dea-86340303c63d","SERC_044.basePlot.bgc","D02","SERC","SERC_044","2017-10-30T16:14Z","2018-04-23","soil","SERC_044-M-32.5-35-20171030-GEN","Battelle Applied Genomics","SERC_044-M-32.5-35-20171030-GEN-DNA1",,"BMI_Plate43WellG12","BMI_qPCR_SOP_v5",2.8,"N","16S","bacteria and archaea",18583.0,214.2,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"9f1ee623-5959-4565-b1ad-fbadd5e3475f","SERC_044.basePlot.bgc","D02","SERC","SERC_044","2017-10-30T16:14Z","2018-04-19","soil","SERC_044-M-32.5-35-20171030-GEN","Battelle Applied Genomics","SERC_044-M-32.5-35-20171030-GEN-DNA1",,"BMI_Plate43WellG12","BMI_qPCR_SOP_v5",2.8,"N","ITS","fungi",3.3,0.7,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"83b121f9-14ff-4895-85ff-6eabe3a18532","SERC_044.basePlot.bgc","D02","SERC","SERC_044","2017-10-30T16:38Z","2018-04-18","soil","SERC_044-M-7-8.5-20171030-GEN","Battelle Applied Genomics","SERC_044-M-7-8.5-20171030-GEN-DNA1",,"BMI_Plate43WellH2","BMI_qPCR_SOP_v5",6.2,"N","16S","bacteria and archaea",72777.2,16893.3,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"a844c2ea-b121-4dc8-a85b-ca9abd2d0b83","SERC_044.basePlot.bgc","D02","SERC","SERC_044","2017-10-30T16:38Z","2018-04-23","soil","SERC_044-M-7-8.5-20171030-GEN","Battelle Applied Genomics","SERC_044-M-7-8.5-20171030-GEN-DNA1",,"BMI_Plate43WellH2","BMI_qPCR_SOP_v5",6.2,"N","ITS","fungi",73.3,0.5,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"f53a66a8-279c-4c12-8f85-039abe2a2cc1","SERC_047.basePlot.bgc","D02","SERC","SERC_047","2017-10-30T17:49Z","2018-10-30","soil","SERC_047-M-39-20-20171030-GEN","Battelle Applied Genomics","SERC_047-M-39-20-20171030-GEN-DNA1",,"BMI_Plate43WellH7","BMI_qPCR_SOP_v6",13.0,"N","16S","bacteria and archaea",5.6,2.7,"EpO2CC/Vy5JdvrXMs+zWXQ==","RuY12me+ipXm0I2ck7Euxg==",
"e80c8602-07e4-4c4c-b2af-ae3e951634f3","SERC_047.basePlot.bgc","D02","SERC","SERC_047","2017-10-30T17:49Z","2018-10-30","soil","SERC_047-M-39-20-20171030-GEN","Battelle Applied Genomics","SERC_047-M-39-20-20171030-GEN-DNA1",,"BMI_Plate43WellH7","BMI_qPCR_SOP_v6",13.0,"N","ITS","fungi",10.0,5.3,"EpO2CC/Vy5JdvrXMs+zWXQ==","RuY12me+ipXm0I2ck7Euxg==",
"45c8497b-a757-4671-a3a3-f16cd66ca3bb","SERC_047.basePlot.bgc","D02","SERC","SERC_047","2017-10-30T18:11Z","2018-04-18","soil","SERC_047-M-24.5-5-20171030-GEN","Battelle Applied Genomics","SERC_047-M-24.5-5-20171030-GEN-DNA1",,"BMI_Plate43WellH6","BMI_qPCR_SOP_v5",17.0,"N","ITS","fungi",57.1,6.3,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"bbd10f7e-91c8-4c06-adc2-93605615eab1","SERC_047.basePlot.bgc","D02","SERC","SERC_047","2017-10-30T18:11Z","2018-04-18","soil","SERC_047-M-24.5-5-20171030-GEN","Battelle Applied Genomics","SERC_047-M-24.5-5-20171030-GEN-DNA1",,"BMI_Plate43WellH6","BMI_qPCR_SOP_v5",17.0,"N","16S","bacteria and archaea",55624.0,2761.9,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
