uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"8c8b2947-b75e-4997-aff8-cc5bc4fe5da2","STEI_003.basePlot.bgc","D05","STEI","STEI_003","2017-10-03T13:19Z","2018-05-09","soil","STEI_003-M-34-37-20171003-GEN","Battelle Applied Genomics","STEI_003-M-34-37-20171003-GEN-DNA1",,"BMI_Plate51WellA11","BMI_qPCR_SOP_v5",28.0,"N","ITS","fungi",108.7,5.0,"hZbYwvE98vDPiOpe6ZBOfQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"f8835f34-8e4c-4b92-ac61-fda21d32adc4","STEI_003.basePlot.bgc","D05","STEI","STEI_003","2017-10-03T13:19Z","2018-10-09","soil","STEI_003-M-34-37-20171003-GEN","Battelle Applied Genomics","STEI_003-M-34-37-20171003-GEN-DNA1",,"BMI_Plate51WellA11","BMI_qPCR_SOP_v6",28.0,"N","16S","bacteria and archaea",59794.0,5847.8,"/4JMnnzktjKOnJ64C5ylpQ==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"976c10c8-7f7d-4d4c-a05d-b2d12278eb10","STEI_003.basePlot.bgc","D05","STEI","STEI_003","2017-10-03T13:38Z","2018-05-09","soil","STEI_003-M-33.5-13.5-20171003-GEN","Battelle Applied Genomics","STEI_003-M-33.5-13.5-20171003-GEN-DNA1",,"BMI_Plate51WellA10","BMI_qPCR_SOP_v5",28.0,"N","ITS","fungi",91.5,2.9,"hZbYwvE98vDPiOpe6ZBOfQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"9cbd302e-9e05-4853-a84a-feebd3ca1267","STEI_003.basePlot.bgc","D05","STEI","STEI_003","2017-10-03T13:38Z","2018-10-09","soil","STEI_003-M-33.5-13.5-20171003-GEN","Battelle Applied Genomics","STEI_003-M-33.5-13.5-20171003-GEN-DNA1",,"BMI_Plate51WellA10","BMI_qPCR_SOP_v6",28.0,"N","16S","bacteria and archaea",29455.4,5553.6,"/4JMnnzktjKOnJ64C5ylpQ==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"90836880-3511-4ae9-a3a9-36deb0f71245","STEI_003.basePlot.bgc","D05","STEI","STEI_003","2017-10-03T14:02Z","2018-05-09","soil","STEI_003-M-5.5-3.5-20171003-GEN","Battelle Applied Genomics","STEI_003-M-5.5-3.5-20171003-GEN-DNA1",,"BMI_Plate51WellA12","BMI_qPCR_SOP_v5",17.0,"N","ITS","fungi",71.1,7.2,"hZbYwvE98vDPiOpe6ZBOfQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"b990b4e2-3455-41cf-84d0-89a8f8f11936","STEI_003.basePlot.bgc","D05","STEI","STEI_003","2017-10-03T14:02Z","2018-10-09","soil","STEI_003-M-5.5-3.5-20171003-GEN","Battelle Applied Genomics","STEI_003-M-5.5-3.5-20171003-GEN-DNA1",,"BMI_Plate51WellA12","BMI_qPCR_SOP_v6",17.0,"N","16S","bacteria and archaea",36004.4,5243.8,"/4JMnnzktjKOnJ64C5ylpQ==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"5994fd79-655b-45d6-aa97-421e735f6ded","STEI_001.basePlot.bgc","D05","STEI","STEI_001","2017-10-03T14:58Z","2018-05-08","soil","STEI_001-M-35.5-16.5-20171003-GEN","Battelle Applied Genomics","STEI_001-M-35.5-16.5-20171003-GEN-DNA1",,"BMI_Plate51WellA2","BMI_qPCR_SOP_v5",21.0,"N","ITS","fungi",187.3,35.7,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"b194ac98-3360-4bf2-b7fe-c54d6ad550a2","STEI_001.basePlot.bgc","D05","STEI","STEI_001","2017-10-03T14:58Z","2018-05-09","soil","STEI_001-M-35.5-16.5-20171003-GEN","Battelle Applied Genomics","STEI_001-M-35.5-16.5-20171003-GEN-DNA1",,"BMI_Plate51WellA2","BMI_qPCR_SOP_v5",21.0,"N","16S","bacteria and archaea",76417.3,7314.9,"hZbYwvE98vDPiOpe6ZBOfQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"9e5d41cb-0abb-4f82-8748-077ef4bbf6f4","STEI_001.basePlot.bgc","D05","STEI","STEI_001","2017-10-03T15:18Z","2018-05-09","soil","STEI_001-M-35-36.5-20171003-GEN","Battelle Applied Genomics","STEI_001-M-35-36.5-20171003-GEN-DNA1",,"BMI_Plate51WellA3","BMI_qPCR_SOP_v5",64.0,"N","16S","bacteria and archaea",24245.2,3209.6,"hZbYwvE98vDPiOpe6ZBOfQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"a6874a68-ba38-4906-aa8a-70a1040ef80b","STEI_004.basePlot.bgc","D05","STEI","STEI_004","2017-10-03T15:30Z","2018-05-09","soil","STEI_004-M-7.5-31-20171003-GEN","Battelle Applied Genomics","STEI_004-M-7.5-31-20171003-GEN-DNA1",,"BMI_Plate51WellB3","BMI_qPCR_SOP_v5",14.0,"N","16S","bacteria and archaea",64515.3,7757.7,"hZbYwvE98vDPiOpe6ZBOfQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
