uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"77c1c95d-ddde-4584-bc90-162f80bdd3a8","UNDE_002.basePlot.bgc","D05","UNDE","UNDE_002","2017-10-10T14:44Z","2018-05-15","soil","UNDE_002-O-36.5-25.5-20171010-GEN","Battelle Applied Genomics","UNDE_002-O-36.5-25.5-20171010-GEN-DNA1",,"BMI_Plate52WellB6","BMI_qPCR_SOP_v5",8.0,"N","ITS","fungi",44.2,4.9,"hZbYwvE98vBgTyr5HWFh7g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"bdb20e33-6ca4-4861-8159-7583d2c7bb92","UNDE_002.basePlot.bgc","D05","UNDE","UNDE_002","2017-10-10T14:44Z","2018-05-18","soil","UNDE_002-O-36.5-25.5-20171010-GEN","Battelle Applied Genomics","UNDE_002-O-36.5-25.5-20171010-GEN-DNA1",,"BMI_Plate52WellB6","BMI_qPCR_SOP_v5",8.0,"N","16S","bacteria and archaea",107283.0,10513.4,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"1d20e46b-2daa-41dd-a0a0-4ec252099431","UNDE_008.basePlot.bgc","D05","UNDE","UNDE_008","2017-10-10T14:59Z","2018-05-14","soil","UNDE_008-M-10-6-20171010-GEN","Battelle Applied Genomics","UNDE_008-M-10-6-20171010-GEN-DNA1",,"BMI_Plate52WellD8","BMI_qPCR_SOP_v5",17.0,"N","ITS","fungi",124.9,7.8,"hZbYwvE98vBgTyr5HWFh7g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"cae9f77b-d891-4782-9b12-98cd0565fc4a","UNDE_008.basePlot.bgc","D05","UNDE","UNDE_008","2017-10-10T14:59Z","2018-05-17","soil","UNDE_008-M-10-6-20171010-GEN","Battelle Applied Genomics","UNDE_008-M-10-6-20171010-GEN-DNA1",,"BMI_Plate52WellD8","BMI_qPCR_SOP_v5",17.0,"N","16S","bacteria and archaea",90849.5,21835.8,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"810c950c-7e7d-4531-9a7a-1d5dd49818df","UNDE_008.basePlot.bgc","D05","UNDE","UNDE_008","2017-10-10T15:15Z","2018-05-15","soil","UNDE_008-M-0.5-32-20171010-GEN","Battelle Applied Genomics","UNDE_008-M-0.5-32-20171010-GEN-DNA1",,"BMI_Plate52WellD6","BMI_qPCR_SOP_v5",20.0,"N","ITS","fungi",56.1,2.0,"hZbYwvE98vBgTyr5HWFh7g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"c931a680-d7a6-4598-9a9b-471a91d0259f","UNDE_008.basePlot.bgc","D05","UNDE","UNDE_008","2017-10-10T15:15Z","2018-05-18","soil","UNDE_008-M-0.5-32-20171010-GEN","Battelle Applied Genomics","UNDE_008-M-0.5-32-20171010-GEN-DNA1",,"BMI_Plate52WellD6","BMI_qPCR_SOP_v5",20.0,"N","16S","bacteria and archaea",61980.9,5848.9,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"3b3c9d9b-85f6-4462-8b07-97c4bef202ff","UNDE_002.basePlot.bgc","D05","UNDE","UNDE_002","2017-10-10T15:32Z","2018-05-14","soil","UNDE_002-O-5.5-23-20171010-GEN","Battelle Applied Genomics","UNDE_002-O-5.5-23-20171010-GEN-DNA1",,"BMI_Plate52WellB10","BMI_qPCR_SOP_v5",9.4,"N","ITS","fungi",48.9,3.4,"RuY12me+ipXsVfwMkNlv9w==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"0aeceb5e-b2f0-46a9-9f77-fae08a9205ef","UNDE_002.basePlot.bgc","D05","UNDE","UNDE_002","2017-10-10T15:32Z","2018-05-17","soil","UNDE_002-O-5.5-23-20171010-GEN","Battelle Applied Genomics","UNDE_002-O-5.5-23-20171010-GEN-DNA1",,"BMI_Plate52WellB10","BMI_qPCR_SOP_v5",9.4,"N","16S","bacteria and archaea",124156.6,9217.8,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"37548a05-8099-44dd-b06d-7fbfdc4e37d8","UNDE_008.basePlot.bgc","D05","UNDE","UNDE_008","2017-10-10T15:48Z","2018-05-17","soil","UNDE_008-M-30.5-38-20171010-GEN","Battelle Applied Genomics","UNDE_008-M-30.5-38-20171010-GEN-DNA1",,"BMI_Plate52WellD11","BMI_qPCR_SOP_v5",25.0,"N","16S","bacteria and archaea",70784.2,14311.2,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"e9d85521-9063-444b-bba3-6daaa1114d29","UNDE_008.basePlot.bgc","D05","UNDE","UNDE_008","2017-10-10T15:48Z","2018-05-14","soil","UNDE_008-M-30.5-38-20171010-GEN","Battelle Applied Genomics","UNDE_008-M-30.5-38-20171010-GEN-DNA1",,"BMI_Plate52WellD11","BMI_qPCR_SOP_v5",25.0,"N","ITS","fungi",90.8,1.9,"RuY12me+ipXsVfwMkNlv9w==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"fa5f05f1-89ad-43ea-9494-b0ce2a7d4272","UNDE_002.basePlot.bgc","D05","UNDE","UNDE_002","2017-10-10T15:55Z","2018-05-15","soil","UNDE_002-O-2.5-9-20171010-GEN","Battelle Applied Genomics","UNDE_002-O-2.5-9-20171010-GEN-DNA1",,"BMI_Plate52WellB5","BMI_qPCR_SOP_v5",8.0,"N","ITS","fungi",114.2,6.6,"hZbYwvE98vBgTyr5HWFh7g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"ffefd096-16bc-4092-969f-be3f6df51359","UNDE_002.basePlot.bgc","D05","UNDE","UNDE_002","2017-10-10T15:55Z","2018-05-18","soil","UNDE_002-O-2.5-9-20171010-GEN","Battelle Applied Genomics","UNDE_002-O-2.5-9-20171010-GEN-DNA1",,"BMI_Plate52WellB5","BMI_qPCR_SOP_v5",8.0,"N","16S","bacteria and archaea",134026.1,21285.3,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"e179f50f-d252-484f-a105-cbbe0644b182","UNDE_006.basePlot.bgc","D05","UNDE","UNDE_006","2017-10-10T16:38Z","2018-05-17","soil","UNDE_006-M-31.5-29-20171010-GEN","Battelle Applied Genomics","UNDE_006-M-31.5-29-20171010-GEN-DNA1",,"BMI_Plate52WellC12","BMI_qPCR_SOP_v5",16.0,"N","16S","bacteria and archaea",80408.4,10277.0,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"9b5f3840-c7a5-465b-9f24-bf7a8178df27","UNDE_006.basePlot.bgc","D05","UNDE","UNDE_006","2017-10-10T16:38Z","2018-05-14","soil","UNDE_006-M-31.5-29-20171010-GEN","Battelle Applied Genomics","UNDE_006-M-31.5-29-20171010-GEN-DNA1",,"BMI_Plate52WellC12","BMI_qPCR_SOP_v5",16.0,"N","ITS","fungi",75.6,1.0,"RuY12me+ipXsVfwMkNlv9w==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"9f94ae92-8253-43d6-a9c0-2453930da3ae","UNDE_006.basePlot.bgc","D05","UNDE","UNDE_006","2017-10-10T17:03Z","2018-05-14","soil","UNDE_006-M-30.5-2-20171010-GEN","Battelle Applied Genomics","UNDE_006-M-30.5-2-20171010-GEN-DNA1",,"BMI_Plate52WellC11","BMI_qPCR_SOP_v5",17.0,"N","ITS","fungi",126.5,22.4,"RuY12me+ipXsVfwMkNlv9w==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"e713c5df-2c1c-4929-a78d-ca005134d8cd","UNDE_006.basePlot.bgc","D05","UNDE","UNDE_006","2017-10-10T17:03Z","2018-05-17","soil","UNDE_006-M-30.5-2-20171010-GEN","Battelle Applied Genomics","UNDE_006-M-30.5-2-20171010-GEN-DNA1",,"BMI_Plate52WellC11","BMI_qPCR_SOP_v5",17.0,"N","16S","bacteria and archaea",74746.7,3484.9,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"d09d8884-3053-473f-bc3c-258884daf2f7","UNDE_006.basePlot.bgc","D05","UNDE","UNDE_006","2017-10-10T17:29Z","2018-05-15","soil","UNDE_006-M-5-32-20171010-GEN","Battelle Applied Genomics","UNDE_006-M-5-32-20171010-GEN-DNA1",,"BMI_Plate52WellD4","BMI_qPCR_SOP_v5",23.0,"N","ITS","fungi",76.0,11.4,"hZbYwvE98vBgTyr5HWFh7g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
