uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"a29fc25a-4c9d-4671-909b-5d01bbb269ab","KONA_059.basePlot.bgc","D06","KONA","KONA_059","2017-10-16T14:10Z","2018-05-01","soil","KONA_059-M-34.5-34-20171016-GEN","Battelle Applied Genomics","KONA_059-M-34.5-34-20171016-GEN-DNA1",,"BMI_Plate49WellC10","BMI_qPCR_SOP_v5",1.5,"N","16S","bacteria and archaea",15534.3,1842.3,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"830ab9cd-01c2-45e5-98d1-8ca30d0680d9","KONA_059.basePlot.bgc","D06","KONA","KONA_059","2017-10-16T14:10Z","2018-04-30","soil","KONA_059-M-34.5-34-20171016-GEN","Battelle Applied Genomics","KONA_059-M-34.5-34-20171016-GEN-DNA1",,"BMI_Plate49WellC10","BMI_qPCR_SOP_v5",1.5,"N","ITS","fungi",19.7,1.6,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"66ea6680-8ec6-4e90-8244-7693b964f3a1","KONA_059.basePlot.bgc","D06","KONA","KONA_059","2017-10-16T14:28Z","2018-05-01","soil","KONA_059-M-9.5-36.5-20171016-GEN","Battelle Applied Genomics","KONA_059-M-9.5-36.5-20171016-GEN-DNA1",,"BMI_Plate49WellC11","BMI_qPCR_SOP_v5",2.2,"N","16S","bacteria and archaea",16415.2,2118.0,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"38239f5a-703a-4f7a-aa7b-e5f0425d6fc2","KONA_059.basePlot.bgc","D06","KONA","KONA_059","2017-10-16T14:28Z","2018-04-30","soil","KONA_059-M-9.5-36.5-20171016-GEN","Battelle Applied Genomics","KONA_059-M-9.5-36.5-20171016-GEN-DNA1",,"BMI_Plate49WellC11","BMI_qPCR_SOP_v5",2.2,"N","ITS","fungi",11.8,2.1,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"7887e81f-44d6-40d2-b848-4041cdd2190b","KONA_048.basePlot.bgc","D06","KONA","KONA_048","2017-10-16T14:33Z","2018-04-30","soil","KONA_048-M-26-2.5-20171016-GEN","Battelle Applied Genomics","KONA_048-M-26-2.5-20171016-GEN-DNA1",,"BMI_Plate49WellC1","BMI_qPCR_SOP_v5",22.0,"N","ITS","fungi",47.1,0.3,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"a57a9197-879c-4aac-b066-2bc51863d482","KONA_048.basePlot.bgc","D06","KONA","KONA_048","2017-10-16T14:33Z","2018-05-01","soil","KONA_048-M-26-2.5-20171016-GEN","Battelle Applied Genomics","KONA_048-M-26-2.5-20171016-GEN-DNA1",,"BMI_Plate49WellC1","BMI_qPCR_SOP_v5",22.0,"N","16S","bacteria and archaea",60042.5,1927.1,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"6c6245f9-6d19-49c2-bc41-e2b73594c124","KONA_059.basePlot.bgc","D06","KONA","KONA_059","2017-10-16T14:50Z","2018-05-01","soil","KONA_059-M-15-9-20171016-GEN","Battelle Applied Genomics","KONA_059-M-15-9-20171016-GEN-DNA1",,"BMI_Plate49WellC9","BMI_qPCR_SOP_v5",1.9,"N","ITS","fungi",16.8,0.7,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"c0655918-f262-4f9c-ba47-9cb87d5350f9","KONA_059.basePlot.bgc","D06","KONA","KONA_059","2017-10-16T14:50Z","2018-05-01","soil","KONA_059-M-15-9-20171016-GEN","Battelle Applied Genomics","KONA_059-M-15-9-20171016-GEN-DNA1",,"BMI_Plate49WellC9","BMI_qPCR_SOP_v5",1.9,"N","16S","bacteria and archaea",13778.3,2532.9,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"6c0c9a65-fb72-4664-bffc-b3a65b9c76c0","KONA_048.basePlot.bgc","D06","KONA","KONA_048","2017-10-16T15:05Z","2018-05-01","soil","KONA_048-M-7-13-20171016-GEN","Battelle Applied Genomics","KONA_048-M-7-13-20171016-GEN-DNA1",,"BMI_Plate49WellC2","BMI_qPCR_SOP_v5",5.8,"N","16S","bacteria and archaea",55837.3,9011.0,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"6f952959-d038-4333-9ae1-751c28d67d17","KONA_048.basePlot.bgc","D06","KONA","KONA_048","2017-10-16T15:05Z","2018-04-30","soil","KONA_048-M-7-13-20171016-GEN","Battelle Applied Genomics","KONA_048-M-7-13-20171016-GEN-DNA1",,"BMI_Plate49WellC2","BMI_qPCR_SOP_v5",5.8,"N","ITS","fungi",50.9,10.4,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
