uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"ca9ba235-5f10-4f3b-8e34-917d0f6271a7","KONZ_003.basePlot.bgc","D06","KONZ","KONZ_003","2017-10-02T13:50Z","2018-05-01","soil","KONZ_003-M-35.5-20.5-20171002-GEN","Battelle Applied Genomics","KONZ_003-M-35.5-20.5-20171002-GEN-DNA1",,"BMI_Plate49WellD8","BMI_qPCR_SOP_v5",20.0,"N","16S","bacteria and archaea",36375.3,5357.0,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"f4024ba3-2b2f-420e-b477-40e46cfc05a1","KONZ_003.basePlot.bgc","D06","KONZ","KONZ_003","2017-10-02T13:50Z","2018-05-01","soil","KONZ_003-M-35.5-20.5-20171002-GEN","Battelle Applied Genomics","KONZ_003-M-35.5-20.5-20171002-GEN-DNA1",,"BMI_Plate49WellD8","BMI_qPCR_SOP_v5",20.0,"N","ITS","fungi",23.1,1.6,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"0f03597a-8a06-4ded-ad7f-d32e3aaa2ec4","KONZ_002.basePlot.bgc","D06","KONZ","KONZ_002","2017-10-02T13:58Z","2018-04-30","soil","KONZ_002-M-13-5-20171002-GEN","Battelle Applied Genomics","KONZ_002-M-13-5-20171002-GEN-DNA1",,"BMI_Plate49WellD3","BMI_qPCR_SOP_v5",27.0,"N","ITS","fungi",19.0,0.4,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"fdf2f7db-c0ee-4996-a82e-9036bea8451d","KONZ_002.basePlot.bgc","D06","KONZ","KONZ_002","2017-10-02T13:58Z","2018-05-01","soil","KONZ_002-M-13-5-20171002-GEN","Battelle Applied Genomics","KONZ_002-M-13-5-20171002-GEN-DNA1",,"BMI_Plate49WellD3","BMI_qPCR_SOP_v5",27.0,"N","16S","bacteria and archaea",30875.6,3236.4,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"cf9e9647-4e2e-4847-9b11-ca4941e85c30","KONZ_024.basePlot.bgc","D06","KONZ","KONZ_024","2017-10-02T14:13Z","2018-04-30","soil","KONZ_024-M-5.5-11-20171002-GEN","Battelle Applied Genomics","KONZ_024-M-5.5-11-20171002-GEN-DNA1",,"BMI_Plate49WellE4","BMI_qPCR_SOP_v5",12.0,"N","ITS","fungi",30.7,3.7,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"c65c0989-bf1a-4ab0-80db-211f87d04d07","KONZ_024.basePlot.bgc","D06","KONZ","KONZ_024","2017-10-02T14:13Z","2018-04-30","soil","KONZ_024-M-5.5-11-20171002-GEN","Battelle Applied Genomics","KONZ_024-M-5.5-11-20171002-GEN-DNA1",,"BMI_Plate49WellE4","BMI_qPCR_SOP_v5",12.0,"N","16S","bacteria and archaea",57539.9,1514.7,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"3e1d4b7e-bd9b-4df7-b3c4-95c5592f9124","KONZ_024.basePlot.bgc","D06","KONZ","KONZ_024","2017-10-02T14:30Z","2018-04-30","soil","KONZ_024-M-6-28-20171002-GEN","Battelle Applied Genomics","KONZ_024-M-6-28-20171002-GEN-DNA1",,"BMI_Plate49WellE5","BMI_qPCR_SOP_v5",31.0,"N","16S","bacteria and archaea",41887.2,6063.9,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"2aa0b420-7a41-4fb2-ac0f-716f7a044558","KONZ_024.basePlot.bgc","D06","KONZ","KONZ_024","2017-10-02T14:30Z","2018-04-30","soil","KONZ_024-M-6-28-20171002-GEN","Battelle Applied Genomics","KONZ_024-M-6-28-20171002-GEN-DNA1",,"BMI_Plate49WellE5","BMI_qPCR_SOP_v5",31.0,"N","ITS","fungi",14.9,0.8,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"cb551582-4b9b-4b1c-9a89-de92e94080d9","KONZ_002.basePlot.bgc","D06","KONZ","KONZ_002","2017-10-02T14:31Z","2018-04-30","soil","KONZ_002-M-8-33-20171002-GEN","Battelle Applied Genomics","KONZ_002-M-8-33-20171002-GEN-DNA1",,"BMI_Plate49WellD5","BMI_qPCR_SOP_v5",34.0,"N","ITS","fungi",15.1,1.4,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"61e83bca-aa0e-4cd1-bf9e-522db0447e7b","KONZ_002.basePlot.bgc","D06","KONZ","KONZ_002","2017-10-02T14:31Z","2018-04-30","soil","KONZ_002-M-8-33-20171002-GEN","Battelle Applied Genomics","KONZ_002-M-8-33-20171002-GEN-DNA1",,"BMI_Plate49WellD5","BMI_qPCR_SOP_v5",34.0,"N","16S","bacteria and archaea",60209.0,10787.5,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
