uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"7feec30e-7e74-4966-80fd-bb2fd423c8a5","UKFS_002.basePlot.bgc","D06","UKFS","UKFS_002","2017-10-30T14:31Z","2018-05-01","soil","UKFS_002-M-0.5-11-20171030-GEN","Battelle Applied Genomics","UKFS_002-M-0.5-11-20171030-GEN-DNA1",,"BMI_Plate49WellF9","BMI_qPCR_SOP_v5",1.8,"N","16S","bacteria and archaea",21269.2,644.5,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"7106a516-e93a-4c2d-a4ad-922a87d25b5a","UKFS_002.basePlot.bgc","D06","UKFS","UKFS_002","2017-10-30T14:31Z","2018-05-01","soil","UKFS_002-M-0.5-11-20171030-GEN","Battelle Applied Genomics","UKFS_002-M-0.5-11-20171030-GEN-DNA1",,"BMI_Plate49WellF9","BMI_qPCR_SOP_v5",1.8,"N","ITS","fungi",7.8,0.9,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"f4aa9c65-ef3e-4c9e-a5a6-f9c85af63324","UKFS_005.basePlot.bgc","D06","UKFS","UKFS_005","2017-10-30T14:32Z","2018-05-01","soil","UKFS_005-M-7.5-28.5-20171030-GEN","Battelle Applied Genomics","UKFS_005-M-7.5-28.5-20171030-GEN-DNA1",,"BMI_Plate49WellG8","BMI_qPCR_SOP_v5",24.0,"N","ITS","fungi",25.9,3.5,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"105a7f89-edca-41bb-ad30-ae6e67af9829","UKFS_005.basePlot.bgc","D06","UKFS","UKFS_005","2017-10-30T14:32Z","2018-05-01","soil","UKFS_005-M-7.5-28.5-20171030-GEN","Battelle Applied Genomics","UKFS_005-M-7.5-28.5-20171030-GEN-DNA1",,"BMI_Plate49WellG8","BMI_qPCR_SOP_v5",24.0,"N","16S","bacteria and archaea",38114.3,15384.3,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"e0f27bb7-0cb9-458c-a059-18b5ccd2fae4","UKFS_002.basePlot.bgc","D06","UKFS","UKFS_002","2017-10-30T14:47Z","2018-05-01","soil","UKFS_002-M-31-22-20171030-GEN","Battelle Applied Genomics","UKFS_002-M-31-22-20171030-GEN-DNA1",,"BMI_Plate49WellF10","BMI_qPCR_SOP_v5",1.4,"N","16S","bacteria and archaea",2353.0,376.9,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"34b74a94-8357-4f76-97d7-5e4a3f6d0b63","UKFS_002.basePlot.bgc","D06","UKFS","UKFS_002","2017-10-30T14:47Z","2018-04-30","soil","UKFS_002-M-31-22-20171030-GEN","Battelle Applied Genomics","UKFS_002-M-31-22-20171030-GEN-DNA1",,"BMI_Plate49WellF10","BMI_qPCR_SOP_v5",1.4,"N","ITS","fungi",2.1,0.9,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"1e665ad9-3134-45f3-9277-2ad624599ea9","UKFS_005.basePlot.bgc","D06","UKFS","UKFS_005","2017-10-30T14:56Z","2018-05-01","soil","UKFS_005-M-38.5-7.5-20171030-GEN","Battelle Applied Genomics","UKFS_005-M-38.5-7.5-20171030-GEN-DNA1",,"BMI_Plate49WellG7","BMI_qPCR_SOP_v5",2.3,"N","ITS","fungi",3.5,0.4,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"a4d29eb9-460c-43d6-986d-1a82e95e9405","UKFS_005.basePlot.bgc","D06","UKFS","UKFS_005","2017-10-30T14:56Z","2018-05-01","soil","UKFS_005-M-38.5-7.5-20171030-GEN","Battelle Applied Genomics","UKFS_005-M-38.5-7.5-20171030-GEN-DNA1",,"BMI_Plate49WellG7","BMI_qPCR_SOP_v5",2.3,"N","16S","bacteria and archaea",25624.3,3343.9,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"24b2dc1c-49f4-4703-bff3-414d5d7e692b","UKFS_002.basePlot.bgc","D06","UKFS","UKFS_002","2017-10-30T15:06Z","2018-04-30","soil","UKFS_002-M-36-9-20171030-GEN","Battelle Applied Genomics","UKFS_002-M-36-9-20171030-GEN-DNA1",,"BMI_Plate49WellF11","BMI_qPCR_SOP_v5",12.0,"N","ITS","fungi",5.9,1.2,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"6c2f9c01-b53e-406e-b56f-863a071d5678","UKFS_002.basePlot.bgc","D06","UKFS","UKFS_002","2017-10-30T15:06Z","2018-05-01","soil","UKFS_002-M-36-9-20171030-GEN","Battelle Applied Genomics","UKFS_002-M-36-9-20171030-GEN-DNA1",,"BMI_Plate49WellF11","BMI_qPCR_SOP_v5",12.0,"N","16S","bacteria and archaea",12309.6,2899.3,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"4f374257-e1cb-402f-aada-50ae19886081","UKFS_005.basePlot.bgc","D06","UKFS","UKFS_005","2017-10-30T15:10Z","2018-04-30","soil","UKFS_005-M-33-31.5-20171030-GEN","Battelle Applied Genomics","UKFS_005-M-33-31.5-20171030-GEN-DNA1",,"BMI_Plate49WellG6","BMI_qPCR_SOP_v5",15.0,"N","ITS","fungi",137.3,16.8,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"46570dc5-5555-4695-afa6-df52964a88af","UKFS_005.basePlot.bgc","D06","UKFS","UKFS_005","2017-10-30T15:10Z","2018-04-30","soil","UKFS_005-M-33-31.5-20171030-GEN","Battelle Applied Genomics","UKFS_005-M-33-31.5-20171030-GEN-DNA1",,"BMI_Plate49WellG6","BMI_qPCR_SOP_v5",15.0,"N","16S","bacteria and archaea",52187.3,4943.4,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"7ae09520-c44c-4b36-9e4b-39b5feb100cf","UKFS_004.basePlot.bgc","D06","UKFS","UKFS_004","2017-10-30T16:03Z","2018-04-30","soil","UKFS_004-M-1.5-4-20171030-GEN","Battelle Applied Genomics","UKFS_004-M-1.5-4-20171030-GEN-DNA1",,"BMI_Plate49WellG3","BMI_qPCR_SOP_v5",22.0,"N","ITS","fungi",44.6,2.4,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"314e28a4-86a8-469a-88bd-b321e8a065be","UKFS_004.basePlot.bgc","D06","UKFS","UKFS_004","2017-10-30T16:03Z","2018-05-01","soil","UKFS_004-M-1.5-4-20171030-GEN","Battelle Applied Genomics","UKFS_004-M-1.5-4-20171030-GEN-DNA1",,"BMI_Plate49WellG3","BMI_qPCR_SOP_v5",22.0,"N","16S","bacteria and archaea",23691.2,563.6,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"36b55f9b-2ea5-4151-a8df-d9cb2b453c00","UKFS_003.basePlot.bgc","D06","UKFS","UKFS_003","2017-10-30T16:13Z","2018-04-30","soil","UKFS_003-M-8.5-14.5-20171030-GEN","Battelle Applied Genomics","UKFS_003-M-8.5-14.5-20171030-GEN-DNA1",,"BMI_Plate49WellG2","BMI_qPCR_SOP_v5",15.0,"N","ITS","fungi",16.8,1.8,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"d4b92ae9-8231-4538-adde-2733b8a3212a","UKFS_003.basePlot.bgc","D06","UKFS","UKFS_003","2017-10-30T16:13Z","2018-05-01","soil","UKFS_003-M-8.5-14.5-20171030-GEN","Battelle Applied Genomics","UKFS_003-M-8.5-14.5-20171030-GEN-DNA1",,"BMI_Plate49WellG2","BMI_qPCR_SOP_v5",15.0,"N","16S","bacteria and archaea",31716.3,6522.9,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"ac9788a6-f98d-47c2-84fe-5a6cb6f400cb","UKFS_004.basePlot.bgc","D06","UKFS","UKFS_004","2017-10-30T16:17Z","2018-04-30","soil","UKFS_004-M-34.5-17-20171030-GEN","Battelle Applied Genomics","UKFS_004-M-34.5-17-20171030-GEN-DNA1",,"BMI_Plate49WellG5","BMI_qPCR_SOP_v5",11.0,"N","ITS","fungi",13.8,0.6,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"a815a1de-f841-4a8c-adaf-0933b0a9abdb","UKFS_004.basePlot.bgc","D06","UKFS","UKFS_004","2017-10-30T16:17Z","2018-04-30","soil","UKFS_004-M-34.5-17-20171030-GEN","Battelle Applied Genomics","UKFS_004-M-34.5-17-20171030-GEN-DNA1",,"BMI_Plate49WellG5","BMI_qPCR_SOP_v5",11.0,"N","16S","bacteria and archaea",23698.3,600.2,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"be8e91ee-904b-4df3-a575-c4d523d097e5","UKFS_003.basePlot.bgc","D06","UKFS","UKFS_003","2017-10-30T16:26Z","2018-04-30","soil","UKFS_003-M-33.5-39.5-20171030-GEN","Battelle Applied Genomics","UKFS_003-M-33.5-39.5-20171030-GEN-DNA1",,"BMI_Plate49WellG1","BMI_qPCR_SOP_v5",10.0,"N","ITS","fungi",13.5,1.0,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"1d15fdfa-2553-48bf-8e28-90c2d5607abf","UKFS_003.basePlot.bgc","D06","UKFS","UKFS_003","2017-10-30T16:26Z","2018-05-01","soil","UKFS_003-M-33.5-39.5-20171030-GEN","Battelle Applied Genomics","UKFS_003-M-33.5-39.5-20171030-GEN-DNA1",,"BMI_Plate49WellG1","BMI_qPCR_SOP_v5",10.0,"N","16S","bacteria and archaea",14113.6,3261.5,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"65be80bd-099e-452a-b50e-fe8be73ff705","UKFS_004.basePlot.bgc","D06","UKFS","UKFS_004","2017-10-30T16:30Z","2018-04-30","soil","UKFS_004-M-31.5-29-20171030-GEN","Battelle Applied Genomics","UKFS_004-M-31.5-29-20171030-GEN-DNA1",,"BMI_Plate49WellG4","BMI_qPCR_SOP_v5",17.0,"N","ITS","fungi",12.4,0.6,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"08c77685-548f-4f48-badb-ad0b9808b102","UKFS_004.basePlot.bgc","D06","UKFS","UKFS_004","2017-10-30T16:30Z","2018-04-30","soil","UKFS_004-M-31.5-29-20171030-GEN","Battelle Applied Genomics","UKFS_004-M-31.5-29-20171030-GEN-DNA1",,"BMI_Plate49WellG4","BMI_qPCR_SOP_v5",17.0,"N","16S","bacteria and archaea",37752.1,7916.5,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"e05e117d-a280-4ec7-88fe-e1203eced445","UKFS_003.basePlot.bgc","D06","UKFS","UKFS_003","2017-10-30T16:38Z","2018-05-01","soil","UKFS_003-M-13-35-20171030-GEN","Battelle Applied Genomics","UKFS_003-M-13-35-20171030-GEN-DNA1",,"BMI_Plate49WellF12","BMI_qPCR_SOP_v5",11.0,"N","16S","bacteria and archaea",33439.9,3599.4,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"f74df97d-f55a-4923-b928-763deeda7b99","UKFS_003.basePlot.bgc","D06","UKFS","UKFS_003","2017-10-30T16:38Z","2018-04-30","soil","UKFS_003-M-13-35-20171030-GEN","Battelle Applied Genomics","UKFS_003-M-13-35-20171030-GEN-DNA1",,"BMI_Plate49WellF12","BMI_qPCR_SOP_v5",11.0,"N","ITS","fungi",18.5,0.8,"hZbYwvE98vDRFTsfDoExUw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"43c95d8a-9c05-4614-b503-1a5d6ca14990","UKFS_009.basePlot.bgc","D06","UKFS","UKFS_009","2017-10-30T17:18Z","2018-05-01","soil","UKFS_009-M-0.5-20.5-20171030-GEN","Battelle Applied Genomics","UKFS_009-M-0.5-20.5-20171030-GEN-DNA1",,"BMI_Plate49WellG9","BMI_qPCR_SOP_v5",1.7,"N","ITS","fungi",78.6,5.0,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
