uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"38efc3a7-b9d2-4789-9b3e-8f3a573ac4d5","GRSM_001.basePlot.bgc","D07","GRSM","GRSM_001","2017-10-18T15:13Z","2018-04-04","soil","GRSM_001-O-39-1.5-20171018-GEN","Battelle Applied Genomics","GRSM_001-O-39-1.5-20171018-GEN-DNA1",,"BMI_Plate44WellH1","BMI_qPCR_SOP_v5",25.0,"N","16S","bacteria and archaea",20390.0,4105.3,"hZbYwvE98vBgTyr5HWFh7g==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"f9ab6f87-beb3-411c-869a-8cecd04cec12","GRSM_001.basePlot.bgc","D07","GRSM","GRSM_001","2017-10-18T15:13Z","2018-11-14","soil","GRSM_001-O-39-1.5-20171018-GEN","Battelle Applied Genomics","GRSM_001-O-39-1.5-20171018-GEN-DNA1",,"BMI_Plate44WellH1","BMI_qPCR_SOP_v6",25.0,"N","ITS","fungi",22.0,1.7,"EpO2CC/Vy5JdvrXMs+zWXQ==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"c0b08489-5c99-4c69-a7dd-713efa085f9b","GRSM_001.basePlot.bgc","D07","GRSM","GRSM_001","2017-10-18T15:33Z","2018-04-05","soil","GRSM_001-O-4.5-34-20171018-GEN","Battelle Applied Genomics","GRSM_001-O-4.5-34-20171018-GEN-DNA1",,"BMI_Plate44WellH2","BMI_qPCR_SOP_v5",36.0,"N","16S","bacteria and archaea",36378.1,3569.4,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"004b381f-bfdb-4429-84e0-35e147f49768","GRSM_001.basePlot.bgc","D07","GRSM","GRSM_001","2017-10-18T15:33Z","2018-04-09","soil","GRSM_001-O-4.5-34-20171018-GEN","Battelle Applied Genomics","GRSM_001-O-4.5-34-20171018-GEN-DNA1",,"BMI_Plate44WellH2","BMI_qPCR_SOP_v5",36.0,"N","ITS","fungi",8.5,0.5,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"70b703e7-bdb4-4c95-8847-aa3f1a99f41e","GRSM_001.basePlot.bgc","D07","GRSM","GRSM_001","2017-10-18T15:50Z","2018-04-09","soil","GRSM_001-O-34-27.5-20171018-GEN","Battelle Applied Genomics","GRSM_001-O-34-27.5-20171018-GEN-DNA1",,"BMI_Plate44WellG12","BMI_qPCR_SOP_v5",40.0,"N","ITS","fungi",41.9,3.6,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"d2a7613a-9ef2-4a92-8258-4eabfef899ac","GRSM_001.basePlot.bgc","D07","GRSM","GRSM_001","2017-10-18T15:50Z","2018-04-11","soil","GRSM_001-O-34-27.5-20171018-GEN","Battelle Applied Genomics","GRSM_001-O-34-27.5-20171018-GEN-DNA1",,"BMI_Plate44WellG12","BMI_qPCR_SOP_v5",40.0,"N","16S","bacteria and archaea",23038.0,2352.2,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"d5ffa9e8-5b6c-4fed-8ca1-0c2d2212c42d","GRSM_016.basePlot.bgc","D07","GRSM","GRSM_016","2017-10-18T18:21Z","2018-04-13","soil","GRSM_016-O-35-19-20171018-GEN","Battelle Applied Genomics","GRSM_016-O-35-19-20171018-GEN-DNA1",,"BMI_Plate45WellE8","BMI_qPCR_SOP_v5",116.0,"N","16S","bacteria and archaea",37231.2,31569.6,"vMLbKuU6fpGTxS6MTTeQfA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"e7349ab5-098e-48c6-9bf0-a7027b2866c7","GRSM_016.basePlot.bgc","D07","GRSM","GRSM_016","2017-10-18T18:35Z","2018-04-13","soil","GRSM_016-O-35-25-20171018-GEN","Battelle Applied Genomics","GRSM_016-O-35-25-20171018-GEN-DNA1",,"BMI_Plate45WellE9","BMI_qPCR_SOP_v5",91.0,"N","16S","bacteria and archaea",547.4,72.1,"vMLbKuU6fpHVl9M0UX08mg==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"2c298ca0-e51c-4feb-8135-a0cfa79169f3","GRSM_016.basePlot.bgc","D07","GRSM","GRSM_016","2017-10-18T18:50Z","2018-04-13","soil","GRSM_016-O-19-38-20171018-GEN","Battelle Applied Genomics","GRSM_016-O-19-38-20171018-GEN-DNA1",,"BMI_Plate45WellE6","BMI_qPCR_SOP_v5",87.0,"N","16S","bacteria and archaea",9852.2,440.4,"vMLbKuU6fpGTxS6MTTeQfA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"4f25d191-7c37-4447-916c-6747523d3dfd","GRSM_016.basePlot.bgc","D07","GRSM","GRSM_016","2017-10-18T18:50Z","2018-04-11","soil","GRSM_016-O-19-38-20171018-GEN","Battelle Applied Genomics","GRSM_016-O-19-38-20171018-GEN-DNA1",,"BMI_Plate45WellE6","BMI_qPCR_SOP_v5",87.0,"N","ITS","fungi",4.3,0.2,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"d538ee46-5a2b-46ca-bf78-c3eec348cdbc","GRSM_007.basePlot.bgc","D07","GRSM","GRSM_007","2017-10-18T21:14Z","2018-04-13","soil","GRSM_007-O-3-18-20171018-GEN","Battelle Applied Genomics","GRSM_007-O-3-18-20171018-GEN-DNA1",,"BMI_Plate45WellD8","BMI_qPCR_SOP_v5",64.0,"N","16S","bacteria and archaea",10646.9,1717.6,"vMLbKuU6fpGTxS6MTTeQfA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
