uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"3fd6b8b3-3955-4ee4-80ed-32042b8ef1fc","TALL_006.basePlot.bgc","D08","TALL","TALL_006","2017-10-30T14:45Z","2018-04-26","soil","TALL_006-M-7-26.5-20171030-GEN","Battelle Applied Genomics","TALL_006-M-7-26.5-20171030-GEN-DNA1",,"BMI_Plate48WellH2","BMI_qPCR_SOP_v5",9.5,"N","16S","bacteria and archaea",77851.5,2425.0,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"028966b0-6cac-4add-99fb-74554f0a0133","TALL_006.basePlot.bgc","D08","TALL","TALL_006","2017-10-30T14:45Z","2018-04-27","soil","TALL_006-M-7-26.5-20171030-GEN","Battelle Applied Genomics","TALL_006-M-7-26.5-20171030-GEN-DNA1",,"BMI_Plate48WellH2","BMI_qPCR_SOP_v5",9.5,"N","ITS","fungi",104.1,94.6,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"43d7f236-3a02-48e1-afea-3ef6ff117166","TALL_007.basePlot.bgc","D08","TALL","TALL_007","2017-10-30T15:02Z","2018-04-27","soil","TALL_007-M-30.5-31.5-20171030-GEN","Battelle Applied Genomics","TALL_007-M-30.5-31.5-20171030-GEN-DNA1",,"BMI_Plate48WellH3","BMI_qPCR_SOP_v5",7.9,"N","ITS","fungi",211.2,83.9,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"497a2be5-219e-4161-95da-1e2965796ffa","TALL_007.basePlot.bgc","D08","TALL","TALL_007","2017-10-30T15:02Z","2018-04-26","soil","TALL_007-M-30.5-31.5-20171030-GEN","Battelle Applied Genomics","TALL_007-M-30.5-31.5-20171030-GEN-DNA1",,"BMI_Plate48WellH3","BMI_qPCR_SOP_v5",7.9,"N","16S","bacteria and archaea",59828.5,10080.9,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"38b50492-f3b6-4b56-ae16-02105a1a431a","TALL_006.basePlot.bgc","D08","TALL","TALL_006","2017-10-30T15:06Z","2018-09-26","soil","TALL_006-M-31.5-32.5-20171030-GEN","Battelle Applied Genomics","TALL_006-M-31.5-32.5-20171030-GEN-DNA1",,"BMI_Plate48WellG11","BMI_qPCR_SOP_v6",8.1,"N","16S","bacteria and archaea",18811.4,2858.4,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"643241c5-63d8-4239-95e1-b3f7b802bc9d","TALL_006.basePlot.bgc","D08","TALL","TALL_006","2017-10-30T15:06Z","2018-04-27","soil","TALL_006-M-31.5-32.5-20171030-GEN","Battelle Applied Genomics","TALL_006-M-31.5-32.5-20171030-GEN-DNA1",,"BMI_Plate48WellG11","BMI_qPCR_SOP_v5",8.1,"N","ITS","fungi",72.1,1.6,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"75fd5752-b5e9-4e9d-84bf-7432c927c289","TALL_006.basePlot.bgc","D08","TALL","TALL_006","2017-10-30T15:19Z","2018-09-26","soil","TALL_006-M-30.5-13-20171030-GEN","Battelle Applied Genomics","TALL_006-M-30.5-13-20171030-GEN-DNA1",,"BMI_Plate48WellG10","BMI_qPCR_SOP_v6",9.4,"N","16S","bacteria and archaea",25431.1,3333.9,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"9bd1c588-8428-4b11-aea6-4386da8c0b5e","TALL_006.basePlot.bgc","D08","TALL","TALL_006","2017-10-30T15:19Z","2018-04-27","soil","TALL_006-M-30.5-13-20171030-GEN","Battelle Applied Genomics","TALL_006-M-30.5-13-20171030-GEN-DNA1",,"BMI_Plate48WellG10","BMI_qPCR_SOP_v5",9.4,"N","ITS","fungi",40.4,3.0,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"df5a4512-6f18-42e3-bf52-088f78c07da7","TALL_007.basePlot.bgc","D08","TALL","TALL_007","2017-10-30T15:21Z","2018-04-26","soil","TALL_007-M-31-15-20171030-GEN","Battelle Applied Genomics","TALL_007-M-31-15-20171030-GEN-DNA1",,"BMI_Plate48WellH4","BMI_qPCR_SOP_v5",8.5,"N","16S","bacteria and archaea",112961.2,4167.0,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"63a913ee-9ff1-4342-b1cd-daf8a69bf257","TALL_007.basePlot.bgc","D08","TALL","TALL_007","2017-10-30T15:21Z","2018-04-26","soil","TALL_007-M-31-15-20171030-GEN","Battelle Applied Genomics","TALL_007-M-31-15-20171030-GEN-DNA1",,"BMI_Plate48WellH4","BMI_qPCR_SOP_v5",8.5,"N","ITS","fungi",91.8,4.0,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"dfd0ceec-47a3-4153-a02d-58b7c3b59a5a","TALL_007.basePlot.bgc","D08","TALL","TALL_007","2017-10-30T15:33Z","2018-04-26","soil","TALL_007-M-7.5-3-20171030-GEN","Battelle Applied Genomics","TALL_007-M-7.5-3-20171030-GEN-DNA1",,"BMI_Plate48WellH5","BMI_qPCR_SOP_v5",6.4,"N","ITS","fungi",83.5,2.7,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"e4592b88-d940-47e2-87ec-48b6c2002ca7","TALL_007.basePlot.bgc","D08","TALL","TALL_007","2017-10-30T15:33Z","2018-04-26","soil","TALL_007-M-7.5-3-20171030-GEN","Battelle Applied Genomics","TALL_007-M-7.5-3-20171030-GEN-DNA1",,"BMI_Plate48WellH5","BMI_qPCR_SOP_v5",6.4,"N","16S","bacteria and archaea",148698.4,8727.4,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"74e7a62d-3d07-4142-8684-f270453b4fc2","TALL_001.basePlot.bgc","D08","TALL","TALL_001","2017-10-30T16:35Z","2018-04-27","soil","TALL_001-O-18-36.5-20171030-GEN","Battelle Applied Genomics","TALL_001-O-18-36.5-20171030-GEN-DNA1",,"BMI_Plate48WellG3","BMI_qPCR_SOP_v5",13.0,"N","ITS","fungi",140.7,9.1,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
