uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"5dbe6b40-e5c6-4ab7-81bc-356cff1c89b5","DCFS_065.basePlot.bgc","D09","DCFS","DCFS_065","2017-10-16T17:50Z","2018-04-27","soil","DCFS_065-M-24.5-30-20171016-GEN","Battelle Applied Genomics","DCFS_065-M-24.5-30-20171016-GEN-DNA1",,"BMI_Plate48WellA9","BMI_qPCR_SOP_v5",40.0,"N","16S","bacteria and archaea",73293.4,4203.3,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"5ff21f7e-d1f9-47c1-9219-a52fdc6655d6","DCFS_065.basePlot.bgc","D09","DCFS","DCFS_065","2017-10-16T17:50Z","2018-04-26","soil","DCFS_065-M-24.5-30-20171016-GEN","Battelle Applied Genomics","DCFS_065-M-24.5-30-20171016-GEN-DNA1",,"BMI_Plate48WellA9","BMI_qPCR_SOP_v5",40.0,"N","ITS","fungi",46.6,3.3,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"3465b756-e28b-461b-8235-dbdea81376a6","DCFS_065.basePlot.bgc","D09","DCFS","DCFS_065","2017-10-16T18:08Z","2018-04-27","soil","DCFS_065-M-31-10.5-20171016-GEN","Battelle Applied Genomics","DCFS_065-M-31-10.5-20171016-GEN-DNA1",,"BMI_Plate48WellA10","BMI_qPCR_SOP_v5",25.0,"N","ITS","fungi",33.7,10.9,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"c2774374-c7f9-4ec4-b930-f1a5c867826c","DCFS_065.basePlot.bgc","D09","DCFS","DCFS_065","2017-10-16T18:08Z","2018-09-26","soil","DCFS_065-M-31-10.5-20171016-GEN","Battelle Applied Genomics","DCFS_065-M-31-10.5-20171016-GEN-DNA1",,"BMI_Plate48WellA10","BMI_qPCR_SOP_v6",25.0,"N","16S","bacteria and archaea",188045.4,21019.4,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"66a08856-edfb-4d67-8cc3-06d5f1172cea","DCFS_065.basePlot.bgc","D09","DCFS","DCFS_065","2017-10-16T18:31Z","2018-04-27","soil","DCFS_065-M-9.5-22.5-20171016-GEN","Battelle Applied Genomics","DCFS_065-M-9.5-22.5-20171016-GEN-DNA1",,"BMI_Plate48WellA11","BMI_qPCR_SOP_v5",29.0,"N","ITS","fungi",38.0,1.5,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"68374977-3de1-4018-be54-179a83255169","DCFS_065.basePlot.bgc","D09","DCFS","DCFS_065","2017-10-16T18:31Z","2018-09-26","soil","DCFS_065-M-9.5-22.5-20171016-GEN","Battelle Applied Genomics","DCFS_065-M-9.5-22.5-20171016-GEN-DNA1",,"BMI_Plate48WellA11","BMI_qPCR_SOP_v6",29.0,"N","16S","bacteria and archaea",39560.2,6421.6,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"fc6e15f3-5445-45a4-ac9b-ab81460ba217","DCFS_062.basePlot.bgc","D09","DCFS","DCFS_062","2017-10-16T19:42Z","2018-04-26","soil","DCFS_062-M-35.5-21-20171016-GEN","Battelle Applied Genomics","DCFS_062-M-35.5-21-20171016-GEN-DNA1",,"BMI_Plate48WellA3","BMI_qPCR_SOP_v5",45.0,"N","16S","bacteria and archaea",78099.0,15186.3,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"ebdc71ef-d88b-408a-be73-feb623a16f7a","DCFS_062.basePlot.bgc","D09","DCFS","DCFS_062","2017-10-16T19:42Z","2018-04-27","soil","DCFS_062-M-35.5-21-20171016-GEN","Battelle Applied Genomics","DCFS_062-M-35.5-21-20171016-GEN-DNA1",,"BMI_Plate48WellA3","BMI_qPCR_SOP_v5",45.0,"N","ITS","fungi",32.1,12.1,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"5d1954dc-44c9-43e1-8b14-2eff3639b109","DCFS_062.basePlot.bgc","D09","DCFS","DCFS_062","2017-10-16T19:59Z","2018-04-26","soil","DCFS_062-M-9-25-20171016-GEN","Battelle Applied Genomics","DCFS_062-M-9-25-20171016-GEN-DNA1",,"BMI_Plate48WellA4","BMI_qPCR_SOP_v5",48.0,"N","16S","bacteria and archaea",73784.6,10280.2,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"4ff9de75-6d5b-44ed-b514-22877d1958aa","DCFS_062.basePlot.bgc","D09","DCFS","DCFS_062","2017-10-16T19:59Z","2018-04-26","soil","DCFS_062-M-9-25-20171016-GEN","Battelle Applied Genomics","DCFS_062-M-9-25-20171016-GEN-DNA1",,"BMI_Plate48WellA4","BMI_qPCR_SOP_v5",48.0,"N","ITS","fungi",48.7,0.6,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
