uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"c7bf222a-80f2-42be-b22c-3c68140351e3","NOGP_002.basePlot.bgc","D09","NOGP","NOGP_002","2017-10-03T18:54Z","2018-04-26","soil","NOGP_002-M-27.5-37.5-20171003-GEN","Battelle Applied Genomics","NOGP_002-M-27.5-37.5-20171003-GEN-DNA1",,"BMI_Plate48WellB7","BMI_qPCR_SOP_v5",8.1,"N","ITS","fungi",35.8,7.2,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"da4d9f75-762c-4c75-a69e-5aa66c850ef1","NOGP_002.basePlot.bgc","D09","NOGP","NOGP_002","2017-10-03T18:54Z","2018-04-27","soil","NOGP_002-M-27.5-37.5-20171003-GEN","Battelle Applied Genomics","NOGP_002-M-27.5-37.5-20171003-GEN-DNA1",,"BMI_Plate48WellB7","BMI_qPCR_SOP_v5",8.1,"N","16S","bacteria and archaea",101161.8,8131.2,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"a88bd2a3-3422-4e8d-9d1d-34f0c1392ad4","NOGP_002.basePlot.bgc","D09","NOGP","NOGP_002","2017-10-03T19:19Z","2018-04-26","soil","NOGP_002-M-19-35.5-20171003-GEN","Battelle Applied Genomics","NOGP_002-M-19-35.5-20171003-GEN-DNA1",,"BMI_Plate48WellB6","BMI_qPCR_SOP_v5",9.5,"N","16S","bacteria and archaea",71769.3,10291.9,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"c66b8c06-3808-4f67-87d6-64b792d32e9d","NOGP_002.basePlot.bgc","D09","NOGP","NOGP_002","2017-10-03T19:19Z","2018-04-26","soil","NOGP_002-M-19-35.5-20171003-GEN","Battelle Applied Genomics","NOGP_002-M-19-35.5-20171003-GEN-DNA1",,"BMI_Plate48WellB6","BMI_qPCR_SOP_v5",9.5,"N","ITS","fungi",21.8,0.4,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"1a3ef687-28d9-45ef-b53a-6902d6d30512","NOGP_002.basePlot.bgc","D09","NOGP","NOGP_002","2017-10-03T19:33Z","2018-04-27","soil","NOGP_002-M-5.5-19-20171003-GEN","Battelle Applied Genomics","NOGP_002-M-5.5-19-20171003-GEN-DNA1",,"BMI_Plate48WellB8","BMI_qPCR_SOP_v5",14.0,"N","16S","bacteria and archaea",77208.6,8178.0,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"6fb29d37-53ac-46f4-a986-82cfb97b9b20","NOGP_002.basePlot.bgc","D09","NOGP","NOGP_002","2017-10-03T19:33Z","2018-04-26","soil","NOGP_002-M-5.5-19-20171003-GEN","Battelle Applied Genomics","NOGP_002-M-5.5-19-20171003-GEN-DNA1",,"BMI_Plate48WellB8","BMI_qPCR_SOP_v5",14.0,"N","ITS","fungi",25.4,3.9,"hZbYwvE98vDsat+tFk3CGg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"e5f6c543-f827-40b5-8951-f4eb0b6d3d42","NOGP_005.basePlot.bgc","D09","NOGP","NOGP_005","2017-10-03T20:52Z","2018-04-26","soil","NOGP_005-M-26.5-30-20171003-GEN","Battelle Applied Genomics","NOGP_005-M-26.5-30-20171003-GEN-DNA1",,"BMI_Plate48WellC1","BMI_qPCR_SOP_v5",37.0,"N","16S","bacteria and archaea",68014.1,2834.6,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"5ef361d7-f725-4576-8389-5ee88d18d77f","NOGP_005.basePlot.bgc","D09","NOGP","NOGP_005","2017-10-03T20:52Z","2018-04-27","soil","NOGP_005-M-26.5-30-20171003-GEN","Battelle Applied Genomics","NOGP_005-M-26.5-30-20171003-GEN-DNA1",,"BMI_Plate48WellC1","BMI_qPCR_SOP_v5",37.0,"N","ITS","fungi",30.0,18.2,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"cd490a21-35f2-49e4-ad6a-2afe90865015","NOGP_005.basePlot.bgc","D09","NOGP","NOGP_005","2017-10-03T21:06Z","2018-04-26","soil","NOGP_005-M-9.5-24-20171003-GEN","Battelle Applied Genomics","NOGP_005-M-9.5-24-20171003-GEN-DNA1",,"BMI_Plate48WellC2","BMI_qPCR_SOP_v5",27.0,"N","16S","bacteria and archaea",55659.8,8044.4,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"0776ac4e-2bd7-4d68-9ef8-e40ef0b6d13c","NOGP_005.basePlot.bgc","D09","NOGP","NOGP_005","2017-10-03T21:06Z","2018-04-27","soil","NOGP_005-M-9.5-24-20171003-GEN","Battelle Applied Genomics","NOGP_005-M-9.5-24-20171003-GEN-DNA1",,"BMI_Plate48WellC2","BMI_qPCR_SOP_v5",27.0,"N","ITS","fungi",24.0,20.9,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
