uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"160910f7-103c-42d4-bfef-c694e40500ee","WOOD_022.basePlot.bgc","D09","WOOD","WOOD_022","2017-10-09T19:37Z","2018-09-26","soil","WOOD_022-O-3.5-28.5-20171009-GEN","Battelle Applied Genomics","WOOD_022-O-3.5-28.5-20171009-GEN-DNA1",,"BMI_Plate48WellE11","BMI_qPCR_SOP_v6",43.0,"N","16S","bacteria and archaea",19028.6,2732.4,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"2eb59c0f-8bb4-4aa0-a6f6-08e183f594ae","WOOD_022.basePlot.bgc","D09","WOOD","WOOD_022","2017-10-09T19:56Z","2018-04-27","soil","WOOD_022-O-23.5-4.5-20171009-GEN","Battelle Applied Genomics","WOOD_022-O-23.5-4.5-20171009-GEN-DNA1",,"BMI_Plate48WellE10","BMI_qPCR_SOP_v5",22.0,"N","ITS","fungi",7.3,0.7,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"257fc83b-6b3a-450d-8a1e-90347bf6892f","WOOD_022.basePlot.bgc","D09","WOOD","WOOD_022","2017-10-09T19:56Z","2018-09-26","soil","WOOD_022-O-23.5-4.5-20171009-GEN","Battelle Applied Genomics","WOOD_022-O-23.5-4.5-20171009-GEN-DNA1",,"BMI_Plate48WellE10","BMI_qPCR_SOP_v6",22.0,"N","16S","bacteria and archaea",4615.9,757.7,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"24621a59-4113-4987-b3b9-e2ea14c5efd7","WOOD_024.basePlot.bgc","D09","WOOD","WOOD_024","2017-10-09T21:15Z","2018-04-27","soil","WOOD_024-M-37.5-16-20171009-GEN","Battelle Applied Genomics","WOOD_024-M-37.5-16-20171009-GEN-DNA1",,"BMI_Plate48WellE12","BMI_qPCR_SOP_v5",43.0,"N","ITS","fungi",8.3,0.3,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"fc904602-85f7-4487-90df-b5a0d8464800","WOOD_024.basePlot.bgc","D09","WOOD","WOOD_024","2017-10-09T21:15Z","2018-09-26","soil","WOOD_024-M-37.5-16-20171009-GEN","Battelle Applied Genomics","WOOD_024-M-37.5-16-20171009-GEN-DNA1",,"BMI_Plate48WellE12","BMI_qPCR_SOP_v6",43.0,"N","16S","bacteria and archaea",66295.6,3507.4,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"d4aa93d1-1200-4541-8e04-60056644e412","WOOD_024.basePlot.bgc","D09","WOOD","WOOD_024","2017-10-10T18:51Z","2018-04-26","soil","WOOD_024-O-39-37-20171010-GEN","Battelle Applied Genomics","WOOD_024-O-39-37-20171010-GEN-DNA1",,"BMI_Plate48WellF1","BMI_qPCR_SOP_v5",100.0,"N","16S","bacteria and archaea",44658.5,4224.9,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"959ca2d1-53c2-47c3-9318-4b32f7e6d3a7","WOOD_024.basePlot.bgc","D09","WOOD","WOOD_024","2017-10-10T19:06Z","2018-04-26","soil","WOOD_024-O-5-17.5-20171010-GEN","Battelle Applied Genomics","WOOD_024-O-5-17.5-20171010-GEN-DNA1",,"BMI_Plate48WellF2","BMI_qPCR_SOP_v5",94.0,"N","16S","bacteria and archaea",40492.6,5187.4,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"74b68266-9f6c-41f5-9b0f-4e5b4b8be050","WOOD_002.basePlot.bgc","D09","WOOD","WOOD_002","2017-10-10T20:28Z","2018-04-26","soil","WOOD_002-M-6-18.5-20171010-GEN","Battelle Applied Genomics","WOOD_002-M-6-18.5-20171010-GEN-DNA1",,"BMI_Plate48WellE2","BMI_qPCR_SOP_v5",29.0,"N","16S","bacteria and archaea",52811.0,14868.0,"hZbYwvE98vCWlu4d/bnUtA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"dec1d5e9-9da6-47a0-9fe3-f95655ece139","WOOD_002.basePlot.bgc","D09","WOOD","WOOD_002","2017-10-10T20:28Z","2018-04-27","soil","WOOD_002-M-6-18.5-20171010-GEN","Battelle Applied Genomics","WOOD_002-M-6-18.5-20171010-GEN-DNA1",,"BMI_Plate48WellE2","BMI_qPCR_SOP_v5",29.0,"N","ITS","fungi",30.8,26.7,"rxnG2CiGqmvfUWQmmSjwrA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"d5d4464e-8c0f-4a26-8eed-6936e0431a3d","WOOD_002.basePlot.bgc","D09","WOOD","WOOD_002","2017-10-10T20:37Z","2018-09-26","soil","WOOD_002-M-2.5-34.5-20171010-GEN","Battelle Applied Genomics","WOOD_002-M-2.5-34.5-20171010-GEN-DNA1",,"BMI_Plate48WellD12","BMI_qPCR_SOP_v6",42.0,"N","16S","bacteria and archaea",14557.6,965.6,"EpO2CC/Vy5IXxO6/1L7shQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
