uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"87a92d6f-4090-4cca-8bff-20864f50d8e7","RMNP_043.basePlot.bgc","D10","RMNP","RMNP_043","2017-10-02T06:22Z","2018-06-05","soil","RMNP_043-O-3-9.5-20171002-GEN","Battelle Applied Genomics","RMNP_043-O-3-9.5-20171002-GEN-DNA1",,"BMI_Plate60WellD6","BMI_qPCR_SOP_v5",41.0,"N","16S","bacteria and archaea",56415.5,1144.6,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"04f100b0-e3c9-42fd-8942-8e1e59c493c5","RMNP_043.basePlot.bgc","D10","RMNP","RMNP_043","2017-10-02T06:45Z","2018-06-05","soil","RMNP_043-O-7-32-20171002-GEN","Battelle Applied Genomics","RMNP_043-O-7-32-20171002-GEN-DNA1",,"BMI_Plate60WellD7","BMI_qPCR_SOP_v5",38.0,"N","16S","bacteria and archaea",104432.8,13279.8,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"c8f88051-9f67-4910-a6fe-5a8eea4ed9ab","RMNP_019.basePlot.bgc","D10","RMNP","RMNP_019","2017-10-02T15:43Z","2018-06-06","soil","RMNP_019-O-5-2.5-20171002-GEN","Battelle Applied Genomics","RMNP_019-O-5-2.5-20171002-GEN-DNA1",,"BMI_Plate60WellD1","BMI_qPCR_SOP_v5",49.0,"N","16S","bacteria and archaea",54038.0,11081.1,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"5a20e471-d7b7-4dcb-a61a-0d8f97afdc68","RMNP_019.basePlot.bgc","D10","RMNP","RMNP_019","2017-10-02T16:10Z","2018-06-06","soil","RMNP_019-O-4.5-29-20171002-GEN","Battelle Applied Genomics","RMNP_019-O-4.5-29-20171002-GEN-DNA1",,"BMI_Plate60WellC12","BMI_qPCR_SOP_v5",14.0,"N","16S","bacteria and archaea",72579.1,5207.0,"lB45gbSpt1o9A1rsmuBeww==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"0010c456-b83b-4339-85ac-be789a0b8629","RMNP_019.basePlot.bgc","D10","RMNP","RMNP_019","2017-10-02T16:10Z","2018-06-08","soil","RMNP_019-O-4.5-29-20171002-GEN","Battelle Applied Genomics","RMNP_019-O-4.5-29-20171002-GEN-DNA1",,"BMI_Plate60WellC12","BMI_qPCR_SOP_v5",14.0,"N","ITS","fungi",68.7,8.4,"lB45gbSpt1oD+rCKSeXbvQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"773e8649-66e3-4ed3-82d3-3bc3af179e5c","RMNP_019.basePlot.bgc","D10","RMNP","RMNP_019","2017-10-02T16:23Z","2018-06-08","soil","RMNP_019-M-32.5-38.5-20171002-GEN","Battelle Applied Genomics","RMNP_019-M-32.5-38.5-20171002-GEN-DNA1",,"BMI_Plate60WellC11","BMI_qPCR_SOP_v5",5.3,"N","ITS","fungi",91.3,50.0,"lB45gbSpt1oD+rCKSeXbvQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"9e2733eb-5635-47b8-920a-1cb71088e061","RMNP_019.basePlot.bgc","D10","RMNP","RMNP_019","2017-10-02T16:23Z","2018-06-06","soil","RMNP_019-M-32.5-38.5-20171002-GEN","Battelle Applied Genomics","RMNP_019-M-32.5-38.5-20171002-GEN-DNA1",,"BMI_Plate60WellC11","BMI_qPCR_SOP_v5",5.3,"N","16S","bacteria and archaea",87845.1,13566.7,"lB45gbSpt1o9A1rsmuBeww==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"e3d0caa3-b229-4583-9921-5aba8db4b06e","RMNP_041.basePlot.bgc","D10","RMNP","RMNP_041","2017-10-02T16:24Z","2018-06-05","soil","RMNP_041-O-0.5-8-20171002-GEN","Battelle Applied Genomics","RMNP_041-O-0.5-8-20171002-GEN-DNA1",,"BMI_Plate60WellD2","BMI_qPCR_SOP_v5",24.0,"N","ITS","fungi",98.3,4.2,"vMLbKuU6fpHNTrCnaBVM/Q==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"f2063c34-e903-4079-90d2-57651efe0827","RMNP_041.basePlot.bgc","D10","RMNP","RMNP_041","2017-10-02T16:24Z","2018-06-06","soil","RMNP_041-O-0.5-8-20171002-GEN","Battelle Applied Genomics","RMNP_041-O-0.5-8-20171002-GEN-DNA1",,"BMI_Plate60WellD2","BMI_qPCR_SOP_v5",24.0,"N","16S","bacteria and archaea",98995.6,21653.9,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"8ba992d2-a305-48c7-be5c-c6b6bab2385f","RMNP_041.basePlot.bgc","D10","RMNP","RMNP_041","2017-10-02T16:41Z","2018-06-05","soil","RMNP_041-O-37.5-9.5-20171002-GEN","Battelle Applied Genomics","RMNP_041-O-37.5-9.5-20171002-GEN-DNA1",,"BMI_Plate60WellD4","BMI_qPCR_SOP_v5",23.0,"N","16S","bacteria and archaea",80369.9,14011.0,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
