uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"cf95f0d6-f989-489a-bf8c-0cc69cd3cf76","STER_028.basePlot.bgc","D10","STER","STER_028","2017-10-18T15:30Z","2018-06-06","soil","STER_028-M-36-30-20171018-GEN","Battelle Applied Genomics","STER_028-M-36-30-20171018-GEN-DNA1",,"BMI_Plate60WellG1","BMI_qPCR_SOP_v5",5.0,"N","16S","bacteria and archaea",103230.9,5684.3,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"6d7afc23-3cba-4961-809c-5da932046191","STER_028.basePlot.bgc","D10","STER","STER_028","2017-10-18T15:30Z","2018-06-05","soil","STER_028-M-36-30-20171018-GEN","Battelle Applied Genomics","STER_028-M-36-30-20171018-GEN-DNA1",,"BMI_Plate60WellG1","BMI_qPCR_SOP_v5",5.0,"N","ITS","fungi",126.1,7.4,"vMLbKuU6fpH2be+AKKHeng==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"b2285d25-eb3c-471a-8ae4-d567f9a2c220","STER_028.basePlot.bgc","D10","STER","STER_028","2017-10-18T15:56Z","2018-06-08","soil","STER_028-M-29.5-8.5-20171018-GEN","Battelle Applied Genomics","STER_028-M-29.5-8.5-20171018-GEN-DNA1",,"BMI_Plate60WellF12","BMI_qPCR_SOP_v5",4.8,"N","ITS","fungi",77.8,4.0,"lB45gbSpt1oD+rCKSeXbvQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"edec9e52-0584-4ddb-8733-7a35eec813a5","STER_028.basePlot.bgc","D10","STER","STER_028","2017-10-18T15:56Z","2018-06-06","soil","STER_028-M-29.5-8.5-20171018-GEN","Battelle Applied Genomics","STER_028-M-29.5-8.5-20171018-GEN-DNA1",,"BMI_Plate60WellF12","BMI_qPCR_SOP_v5",4.8,"N","16S","bacteria and archaea",89949.8,21209.1,"lB45gbSpt1o9A1rsmuBeww==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"bbce2ce8-0736-4858-89c0-09cef4bf0ec6","STER_028.basePlot.bgc","D10","STER","STER_028","2017-10-18T16:12Z","2018-06-08","soil","STER_028-M-15-3.5-20171018-GEN","Battelle Applied Genomics","STER_028-M-15-3.5-20171018-GEN-DNA1",,"BMI_Plate60WellF11","BMI_qPCR_SOP_v5",4.3,"N","ITS","fungi",10.4,0.7,"lB45gbSpt1oD+rCKSeXbvQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"1ec960e1-7872-4ca3-8401-696a719918b1","STER_028.basePlot.bgc","D10","STER","STER_028","2017-10-18T16:12Z","2018-06-06","soil","STER_028-M-15-3.5-20171018-GEN","Battelle Applied Genomics","STER_028-M-15-3.5-20171018-GEN-DNA1",,"BMI_Plate60WellF11","BMI_qPCR_SOP_v5",4.3,"N","16S","bacteria and archaea",98733.8,24655.3,"lB45gbSpt1o9A1rsmuBeww==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"3e87c304-3d2e-472e-b734-5d38b89bbd91","STER_026.basePlot.bgc","D10","STER","STER_026","2017-10-18T17:07Z","2018-06-06","soil","STER_026-M-6-10.5-20171018-GEN","Battelle Applied Genomics","STER_026-M-6-10.5-20171018-GEN-DNA1",,"BMI_Plate60WellF7","BMI_qPCR_SOP_v5",4.0,"N","ITS","fungi",9.4,2.6,"vMLbKuU6fpEwOKKiAwe3Ow==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"66c79bf4-97da-4c2c-aa98-b87398633488","STER_026.basePlot.bgc","D10","STER","STER_026","2017-10-18T17:07Z","2018-06-05","soil","STER_026-M-6-10.5-20171018-GEN","Battelle Applied Genomics","STER_026-M-6-10.5-20171018-GEN-DNA1",,"BMI_Plate60WellF7","BMI_qPCR_SOP_v5",4.0,"N","16S","bacteria and archaea",97695.7,18017.3,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"166b525b-55e7-4492-8718-09cb8b7adebf","STER_026.basePlot.bgc","D10","STER","STER_026","2017-10-18T17:27Z","2018-06-05","soil","STER_026-M-19-32.5-20171018-GEN","Battelle Applied Genomics","STER_026-M-19-32.5-20171018-GEN-DNA1",,"BMI_Plate60WellF5","BMI_qPCR_SOP_v5",5.9,"N","16S","bacteria and archaea",96356.1,9714.7,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"ddd31551-3a4a-4c42-a553-fce246c02a4e","STER_026.basePlot.bgc","D10","STER","STER_026","2017-10-18T17:27Z","2018-06-06","soil","STER_026-M-19-32.5-20171018-GEN","Battelle Applied Genomics","STER_026-M-19-32.5-20171018-GEN-DNA1",,"BMI_Plate60WellF5","BMI_qPCR_SOP_v5",5.9,"N","ITS","fungi",25.8,2.8,"vMLbKuU6fpEwOKKiAwe3Ow==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"7651a5c7-bb48-43a4-a6ba-81a0f400ef5d","STER_026.basePlot.bgc","D10","STER","STER_026","2017-10-18T17:44Z","2018-06-05","soil","STER_026-M-36-15-20171018-GEN","Battelle Applied Genomics","STER_026-M-36-15-20171018-GEN-DNA1",,"BMI_Plate60WellF6","BMI_qPCR_SOP_v5",2.8,"N","16S","bacteria and archaea",126683.7,9311.4,"vMLbKuU6fpHZSbUeMzxuvA==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"e948ba01-f01a-43ef-b468-1585b9a8bca5","STER_026.basePlot.bgc","D10","STER","STER_026","2017-10-18T17:44Z","2018-06-06","soil","STER_026-M-36-15-20171018-GEN","Battelle Applied Genomics","STER_026-M-36-15-20171018-GEN-DNA1",,"BMI_Plate60WellF6","BMI_qPCR_SOP_v5",2.8,"N","ITS","fungi",93.6,8.0,"vMLbKuU6fpEwOKKiAwe3Ow==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"2e8a8d1f-1152-419b-be2a-b18455978ea9","STER_031.basePlot.bgc","D10","STER","STER_031","2017-10-23T15:03Z","2018-06-06","soil","STER_031-M-15-3.5-20171023-GEN","Battelle Applied Genomics","STER_031-M-15-3.5-20171023-GEN-DNA1",,"BMI_Plate60WellG5","BMI_qPCR_SOP_v5",2.7,"N","ITS","fungi",37.1,2.6,"vMLbKuU6fpEwOKKiAwe3Ow==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
