uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"4a5784a4-bdb8-49e0-bb54-529640636dc6","OAES_001.basePlot.bgc","D11","OAES","OAES_001","2017-10-23T21:35Z","2018-03-29","soil","OAES_001-M-26-7.5-20171023-GEN","Battelle Applied Genomics","OAES_001-M-26-7.5-20171023-GEN-DNA1",,"BMI_Plate39WellC10","BMI_qPCR_SOP_v5",5.6,"N","16S","bacteria and archaea",21436.9,2001.8,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"5eca63db-82dd-4f24-85a4-cb57058d5ac6","OAES_001.basePlot.bgc","D11","OAES","OAES_001","2017-10-23T21:35Z","2018-03-29","soil","OAES_001-M-26-7.5-20171023-GEN","Battelle Applied Genomics","OAES_001-M-26-7.5-20171023-GEN-DNA1",,"BMI_Plate39WellC10","BMI_qPCR_SOP_v5",5.6,"N","ITS","fungi",5.0,0.6,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"f0f82e45-2812-4159-944e-7d7e90ca18f6","OAES_001.basePlot.bgc","D11","OAES","OAES_001","2017-10-23T22:06Z","2018-04-16","soil","OAES_001-M-33-38.5-20171023-GEN","Battelle Applied Genomics","OAES_001-M-33-38.5-20171023-GEN-DNA1",,"BMI_Plate39WellC11","BMI_qPCR_SOP_v5",6.4,"N","16S","bacteria and archaea",47705.3,9625.3,"lB45gbSpt1qzQ/HD/8IOBA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"0a01ccde-1428-4857-a3df-0d0e47acd795","OAES_001.basePlot.bgc","D11","OAES","OAES_001","2017-10-23T22:06Z","2018-04-16","soil","OAES_001-M-33-38.5-20171023-GEN","Battelle Applied Genomics","OAES_001-M-33-38.5-20171023-GEN-DNA1",,"BMI_Plate39WellC11","BMI_qPCR_SOP_v5",6.4,"N","ITS","fungi",7.6,1.0,"lB45gbSpt1qzQ/HD/8IOBA==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"4ca2a7d1-fc82-43c3-8ec6-96d19523daa4","OAES_004.basePlot.bgc","D11","OAES","OAES_004","2017-10-23T22:06Z","2018-04-03","soil","OAES_004-M-24-2-20171023-GEN","Battelle Applied Genomics","OAES_004-M-24-2-20171023-GEN-DNA1",,"BMI_Plate39WellE4","BMI_qPCR_SOP_v5",18.0,"N","16S","bacteria and archaea",16498.5,2334.9,"hZbYwvE98vDih+8K30x11A==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"483796e3-a96c-49f8-b6a9-c356b62dc2a0","OAES_004.basePlot.bgc","D11","OAES","OAES_004","2017-10-23T22:06Z","2018-03-29","soil","OAES_004-M-24-2-20171023-GEN","Battelle Applied Genomics","OAES_004-M-24-2-20171023-GEN-DNA1",,"BMI_Plate39WellE4","BMI_qPCR_SOP_v5",18.0,"N","ITS","fungi",15.2,1.1,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"7f5a0431-a1d4-42a0-ba17-1fbf3595fd61","OAES_001.basePlot.bgc","D11","OAES","OAES_001","2017-10-23T22:29Z","2018-03-29","soil","OAES_001-M-16-33-20171023-GEN","Battelle Applied Genomics","OAES_001-M-16-33-20171023-GEN-DNA1",,"BMI_Plate39WellC6","BMI_qPCR_SOP_v5",15.0,"N","ITS","fungi",16.0,0.8,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"f6e4d5b6-03cb-4c0f-b3ec-1272901c4c6c","OAES_001.basePlot.bgc","D11","OAES","OAES_001","2017-10-23T22:29Z","2018-03-29","soil","OAES_001-M-16-33-20171023-GEN","Battelle Applied Genomics","OAES_001-M-16-33-20171023-GEN-DNA1",,"BMI_Plate39WellC6","BMI_qPCR_SOP_v5",15.0,"N","16S","bacteria and archaea",16165.8,13707.9,"hZbYwvE98vDih+8K30x11A==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"92a3808e-4582-48a0-bba0-0299f640d829","OAES_004.basePlot.bgc","D11","OAES","OAES_004","2017-10-23T22:30Z","2018-03-29","soil","OAES_004-M-9-36.5-20171023-GEN","Battelle Applied Genomics","OAES_004-M-9-36.5-20171023-GEN-DNA1",,"BMI_Plate39WellE7","BMI_qPCR_SOP_v5",35.0,"N","ITS","fungi",21.5,0.1,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"2c3194bc-7a99-45f4-a38a-64804a102b72","OAES_004.basePlot.bgc","D11","OAES","OAES_004","2017-10-23T22:30Z","2018-03-29","soil","OAES_004-M-9-36.5-20171023-GEN","Battelle Applied Genomics","OAES_004-M-9-36.5-20171023-GEN-DNA1",,"BMI_Plate39WellE7","BMI_qPCR_SOP_v5",35.0,"N","16S","bacteria and archaea",24140.9,5092.0,"hZbYwvE98vDih+8K30x11A==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
