uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"157ea50b-c729-4c22-8a0d-d062c1335af3","JORN_004.basePlot.bgc","D14","JORN","JORN_004","2017-10-24T14:37Z","2018-04-05","soil","JORN_004-M-39.5-4.5-20171024-GEN","Battelle Applied Genomics","JORN_004-M-39.5-4.5-20171024-GEN-DNA1",,"BMI_Plate44WellF5","BMI_qPCR_SOP_v5",2.3,"N","16S","bacteria and archaea",6199.1,1779.2,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"9c679190-b026-4ef7-8b1b-aca9f93d15b5","JORN_004.basePlot.bgc","D14","JORN","JORN_004","2017-10-24T14:37Z","2018-09-24","soil","JORN_004-M-39.5-4.5-20171024-GEN","Battelle Applied Genomics","JORN_004-M-39.5-4.5-20171024-GEN-DNA1",,"BMI_Plate44WellF5","BMI_qPCR_SOP_v6",2.3,"N","ITS","fungi",0.9,0.2,"lB45gbSpt1qhvgsSYw5Qrg==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"7cec3c2c-2cb1-426a-8b9f-6622876b74bd","JORN_004.basePlot.bgc","D14","JORN","JORN_004","2017-10-24T15:00Z","2018-04-09","soil","JORN_004-M-37-31-20171024-GEN","Battelle Applied Genomics","JORN_004-M-37-31-20171024-GEN-DNA1",,"BMI_Plate44WellF4","BMI_qPCR_SOP_v5",2.9,"N","ITS","fungi",2.2,0.2,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"1d8ec80b-fd0f-4ba6-b0fb-8d99bb42ca0f","JORN_004.basePlot.bgc","D14","JORN","JORN_004","2017-10-24T15:00Z","2018-04-05","soil","JORN_004-M-37-31-20171024-GEN","Battelle Applied Genomics","JORN_004-M-37-31-20171024-GEN-DNA1",,"BMI_Plate44WellF4","BMI_qPCR_SOP_v5",2.9,"N","16S","bacteria and archaea",37174.7,2294.0,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"e0ef4f1b-f1fe-4db2-84a1-1e6b04c59053","JORN_006.basePlot.bgc","D14","JORN","JORN_006","2017-10-24T15:25Z","2018-04-05","soil","JORN_006-M-11.5-38.5-20171024-GEN","Battelle Applied Genomics","JORN_006-M-11.5-38.5-20171024-GEN-DNA1",,"BMI_Plate44WellF9","BMI_qPCR_SOP_v5",2.2,"N","ITS","fungi",1.1,0.1,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"3138ba12-96f6-4d85-a9b0-794e7fc1ef1d","JORN_006.basePlot.bgc","D14","JORN","JORN_006","2017-10-24T15:25Z","2018-04-05","soil","JORN_006-M-11.5-38.5-20171024-GEN","Battelle Applied Genomics","JORN_006-M-11.5-38.5-20171024-GEN-DNA1",,"BMI_Plate44WellF9","BMI_qPCR_SOP_v5",2.2,"N","16S","bacteria and archaea",27995.0,4296.8,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"2a236c52-f582-4432-95bf-b54375113a30","JORN_006.basePlot.bgc","D14","JORN","JORN_006","2017-10-24T15:34Z","2018-04-05","soil","JORN_006-M-22.5-37.5-20171024-GEN","Battelle Applied Genomics","JORN_006-M-22.5-37.5-20171024-GEN-DNA1",,"BMI_Plate44WellF10","BMI_qPCR_SOP_v5",2.2,"N","ITS","fungi",1.0,0.1,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"51973cf3-1b3a-41af-a1aa-20a8d688460f","JORN_006.basePlot.bgc","D14","JORN","JORN_006","2017-10-24T15:34Z","2018-04-05","soil","JORN_006-M-22.5-37.5-20171024-GEN","Battelle Applied Genomics","JORN_006-M-22.5-37.5-20171024-GEN-DNA1",,"BMI_Plate44WellF10","BMI_qPCR_SOP_v5",2.2,"N","16S","bacteria and archaea",24932.8,3459.6,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"6aef4881-5f7c-42f0-9fa1-a098a3f335e3","JORN_004.basePlot.bgc","D14","JORN","JORN_004","2017-10-24T15:38Z","2018-04-09","soil","JORN_004-M-1.5-22-20171024-GEN","Battelle Applied Genomics","JORN_004-M-1.5-22-20171024-GEN-DNA1",,"BMI_Plate44WellF3","BMI_qPCR_SOP_v5",2.6,"N","ITS","fungi",0.4,0.1,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"30635b80-68d0-44f3-a5ec-1b610658b3d8","JORN_004.basePlot.bgc","D14","JORN","JORN_004","2017-10-24T15:38Z","2018-04-05","soil","JORN_004-M-1.5-22-20171024-GEN","Battelle Applied Genomics","JORN_004-M-1.5-22-20171024-GEN-DNA1",,"BMI_Plate44WellF3","BMI_qPCR_SOP_v5",2.6,"N","16S","bacteria and archaea",17720.2,3069.7,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"48818fa0-abb9-465f-befc-345bd99dd8bf","JORN_006.basePlot.bgc","D14","JORN","JORN_006","2017-10-24T15:44Z","2018-04-09","soil","JORN_006-M-35.5-8.5-20171024-GEN","Battelle Applied Genomics","JORN_006-M-35.5-8.5-20171024-GEN-DNA1",,"BMI_Plate44WellF11","BMI_qPCR_SOP_v5",1.4,"N","ITS","fungi",2.5,0.7,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
