uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"a172da1e-814a-47ca-994e-fe93fd17c8a1","ONAQ_002.basePlot.bgc","D15","ONAQ","ONAQ_002","2017-10-15T17:00Z","2018-05-29","soil","ONAQ_002-M-3.5-29.5-20171015-GEN","Battelle Applied Genomics","ONAQ_002-M-3.5-29.5-20171015-GEN-DNA1",,"BMI_Plate57WellA7","BMI_qPCR_SOP_v5",11.0,"N","16S","bacteria and archaea",146180.1,8742.2,"EpO2CC/Vy5I3b0iPNY4OiQ==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"04987bbc-69e1-4f3d-920c-a2cd8b446e31","ONAQ_002.basePlot.bgc","D15","ONAQ","ONAQ_002","2017-10-15T17:00Z","2018-05-23","soil","ONAQ_002-M-3.5-29.5-20171015-GEN","Battelle Applied Genomics","ONAQ_002-M-3.5-29.5-20171015-GEN-DNA1",,"BMI_Plate57WellA7","BMI_qPCR_SOP_v5",11.0,"N","ITS","fungi",42.1,0.8,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"25a251a0-76f1-4acb-99e1-a164b6a06925","ONAQ_002.basePlot.bgc","D15","ONAQ","ONAQ_002","2017-10-15T17:36Z","2018-05-24","soil","ONAQ_002-M-5-19.5-20171015-GEN","Battelle Applied Genomics","ONAQ_002-M-5-19.5-20171015-GEN-DNA1",,"BMI_Plate57WellA10","BMI_qPCR_SOP_v5",12.0,"N","16S","bacteria and archaea",14444.5,1808.7,"rxnG2CiGqmt8Ur11P/U0lA==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"6f1e94bf-822f-4007-818d-0dc76f69189e","ONAQ_002.basePlot.bgc","D15","ONAQ","ONAQ_002","2017-10-15T17:36Z","2018-05-22","soil","ONAQ_002-M-5-19.5-20171015-GEN","Battelle Applied Genomics","ONAQ_002-M-5-19.5-20171015-GEN-DNA1",,"BMI_Plate57WellA10","BMI_qPCR_SOP_v5",12.0,"N","ITS","fungi",53.3,1.9,"rxnG2CiGqmtYqeBJ4Jfpxg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"1c3ba615-d631-466b-8878-050235f67fa4","ONAQ_002.basePlot.bgc","D15","ONAQ","ONAQ_002","2017-10-15T17:53Z","2018-05-29","soil","ONAQ_002-M-31.5-37-20171015-GEN","Battelle Applied Genomics","ONAQ_002-M-31.5-37-20171015-GEN-DNA1",,"BMI_Plate57WellA9","BMI_qPCR_SOP_v5",4.4,"N","16S","bacteria and archaea",208675.2,32822.4,"EpO2CC/Vy5I3b0iPNY4OiQ==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"9a89925b-4d11-491f-825b-f7ce6af6078d","ONAQ_002.basePlot.bgc","D15","ONAQ","ONAQ_002","2017-10-15T17:53Z","2018-05-23","soil","ONAQ_002-M-31.5-37-20171015-GEN","Battelle Applied Genomics","ONAQ_002-M-31.5-37-20171015-GEN-DNA1",,"BMI_Plate57WellA9","BMI_qPCR_SOP_v5",4.4,"N","ITS","fungi",159.3,11.5,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"b1f2d2ce-6e8b-42a0-82f5-6d195ddb53a1","ONAQ_003.basePlot.bgc","D15","ONAQ","ONAQ_003","2017-10-15T19:41Z","2018-05-23","soil","ONAQ_003-M-22.5-5.5-20171015-GEN","Battelle Applied Genomics","ONAQ_003-M-22.5-5.5-20171015-GEN-DNA1",,"BMI_Plate57WellB1","BMI_qPCR_SOP_v5",5.8,"N","ITS","fungi",15.0,1.4,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"cc2c28e7-6a53-4ff6-94c3-4f6ee00b7490","ONAQ_003.basePlot.bgc","D15","ONAQ","ONAQ_003","2017-10-15T19:41Z","2018-05-23","soil","ONAQ_003-M-22.5-5.5-20171015-GEN","Battelle Applied Genomics","ONAQ_003-M-22.5-5.5-20171015-GEN-DNA1",,"BMI_Plate57WellB1","BMI_qPCR_SOP_v5",5.8,"N","16S","bacteria and archaea",98999.9,6632.9,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"f308a096-c1f4-4862-b31a-7a1febcd0d77","ONAQ_003.basePlot.bgc","D15","ONAQ","ONAQ_003","2017-10-15T19:58Z","2018-05-29","soil","ONAQ_003-M-4-27-20171015-GEN","Battelle Applied Genomics","ONAQ_003-M-4-27-20171015-GEN-DNA1",,"BMI_Plate57WellB7","BMI_qPCR_SOP_v5",16.0,"N","16S","bacteria and archaea",212798.1,172898.0,"EpO2CC/Vy5I3b0iPNY4OiQ==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"68682c5b-7ee8-4906-bd6f-890c41ce7174","ONAQ_003.basePlot.bgc","D15","ONAQ","ONAQ_003","2017-10-15T19:58Z","2018-05-23","soil","ONAQ_003-M-4-27-20171015-GEN","Battelle Applied Genomics","ONAQ_003-M-4-27-20171015-GEN-DNA1",,"BMI_Plate57WellB7","BMI_qPCR_SOP_v5",16.0,"N","ITS","fungi",11.0,0.3,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"fc802fbc-3e71-4c71-8d21-5434377bf7aa","ONAQ_003.basePlot.bgc","D15","ONAQ","ONAQ_003","2017-10-15T20:25Z","2018-05-23","soil","ONAQ_003-M-28-39-20171015-GEN","Battelle Applied Genomics","ONAQ_003-M-28-39-20171015-GEN-DNA1",,"BMI_Plate57WellB3","BMI_qPCR_SOP_v5",13.0,"N","16S","bacteria and archaea",94865.1,37272.4,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"2aba2d97-acdb-4e6a-88df-e70bdce129ad","ONAQ_003.basePlot.bgc","D15","ONAQ","ONAQ_003","2017-10-15T20:25Z","2018-05-23","soil","ONAQ_003-M-28-39-20171015-GEN","Battelle Applied Genomics","ONAQ_003-M-28-39-20171015-GEN-DNA1",,"BMI_Plate57WellB3","BMI_qPCR_SOP_v5",13.0,"N","ITS","fungi",17.0,0.4,"rxnG2CiGqms38HjQnXWZ8g==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
