uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"64f9f7ea-5690-436c-863a-516e03b0f43d","ABBY_070.basePlot.bgc","D16","ABBY","ABBY_070","2017-10-17T07:19Z","2018-05-15","soil","ABBY_070-M-29.5-36.5-20171017-GEN","Battelle Applied Genomics","ABBY_070-M-29.5-36.5-20171017-GEN-DNA1",,"BMI_Plate55WellH7","BMI_qPCR_SOP_v5",41.0,"N","16S","bacteria and archaea",78719.9,6654.4,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"9a68fe1c-affe-4f71-8359-1c9da9afe471","ABBY_070.basePlot.bgc","D16","ABBY","ABBY_070","2017-10-17T07:19Z","2018-05-14","soil","ABBY_070-M-29.5-36.5-20171017-GEN","Battelle Applied Genomics","ABBY_070-M-29.5-36.5-20171017-GEN-DNA1",,"BMI_Plate55WellH7","BMI_qPCR_SOP_v5",41.0,"N","ITS","fungi",49.9,1.2,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"c040e1ba-b7a5-4f2d-b387-12e0073cb34f","ABBY_063.basePlot.bgc","D16","ABBY","ABBY_063","2017-10-17T16:50Z","2018-05-15","soil","ABBY_063-M-4.5-1.5-20171017-GEN","Battelle Applied Genomics","ABBY_063-M-4.5-1.5-20171017-GEN-DNA1",,"BMI_Plate55WellG10","BMI_qPCR_SOP_v5",30.0,"N","16S","bacteria and archaea",83368.5,10426.3,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"d7bdee6a-6d18-4f90-9273-df901412d6c1","ABBY_063.basePlot.bgc","D16","ABBY","ABBY_063","2017-10-17T16:50Z","2018-05-16","soil","ABBY_063-M-4.5-1.5-20171017-GEN","Battelle Applied Genomics","ABBY_063-M-4.5-1.5-20171017-GEN-DNA1",,"BMI_Plate55WellG10","BMI_qPCR_SOP_v5",30.0,"N","ITS","fungi",68.3,11.3,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"395d12d9-345c-476a-bdd7-48d36be64c75","ABBY_063.basePlot.bgc","D16","ABBY","ABBY_063","2017-10-17T17:14Z","2018-05-15","soil","ABBY_063-M-36-10-20171017-GEN","Battelle Applied Genomics","ABBY_063-M-36-10-20171017-GEN-DNA1",,"BMI_Plate55WellG8","BMI_qPCR_SOP_v5",28.0,"N","16S","bacteria and archaea",56704.6,8432.6,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"07aa8ae0-f184-4540-a5f1-165a0379483b","ABBY_063.basePlot.bgc","D16","ABBY","ABBY_063","2017-10-17T17:14Z","2018-05-14","soil","ABBY_063-M-36-10-20171017-GEN","Battelle Applied Genomics","ABBY_063-M-36-10-20171017-GEN-DNA1",,"BMI_Plate55WellG8","BMI_qPCR_SOP_v5",28.0,"N","ITS","fungi",73.2,2.4,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"11c64117-efab-4701-93d4-6107f524ad56","ABBY_063.basePlot.bgc","D16","ABBY","ABBY_063","2017-10-17T18:50Z","2018-05-11","soil","ABBY_063-M-21.5-39.5-20171017-GEN","Battelle Applied Genomics","ABBY_063-M-21.5-39.5-20171017-GEN-DNA1",,"BMI_Plate55WellG2","BMI_qPCR_SOP_v5",45.0,"N","16S","bacteria and archaea",95571.0,14352.3,"vMLbKuU6fpHVl9M0UX08mg==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"86bc5ce6-6909-45f5-8a08-3295551e66cf","ABBY_063.basePlot.bgc","D16","ABBY","ABBY_063","2017-10-17T18:50Z","2018-05-10","soil","ABBY_063-M-21.5-39.5-20171017-GEN","Battelle Applied Genomics","ABBY_063-M-21.5-39.5-20171017-GEN-DNA1",,"BMI_Plate55WellG2","BMI_qPCR_SOP_v5",45.0,"N","ITS","fungi",77.2,9.2,"lB45gbSpt1qzQ/HD/8IOBA==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"075b94c0-6445-4093-aae6-baf1e2f92bd3","ABBY_070.basePlot.bgc","D16","ABBY","ABBY_070","2017-10-17T18:50Z","2018-05-14","soil","ABBY_070-M-24-3-20171017-GEN","Battelle Applied Genomics","ABBY_070-M-24-3-20171017-GEN-DNA1",,"BMI_Plate55WellH5","BMI_qPCR_SOP_v5",22.0,"N","16S","bacteria and archaea",95024.2,15552.1,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"2d876747-2469-4f1a-a295-87d29bf2d3f0","ABBY_070.basePlot.bgc","D16","ABBY","ABBY_070","2017-10-17T18:50Z","2018-05-10","soil","ABBY_070-M-24-3-20171017-GEN","Battelle Applied Genomics","ABBY_070-M-24-3-20171017-GEN-DNA1",,"BMI_Plate55WellH5","BMI_qPCR_SOP_v5",22.0,"N","ITS","fungi",52.6,10.3,"lB45gbSpt1qzQ/HD/8IOBA==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"8bdd946e-655f-433f-9546-39d4c5a0a799","ABBY_070.basePlot.bgc","D16","ABBY","ABBY_070","2017-10-17T19:29Z","2018-05-15","soil","ABBY_070-M-10-0.5-20171017-GEN","Battelle Applied Genomics","ABBY_070-M-10-0.5-20171017-GEN-DNA1",,"BMI_Plate55WellG12","BMI_qPCR_SOP_v5",19.0,"N","16S","bacteria and archaea",45571.6,6073.6,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"6529036c-4eb1-4085-8184-6937d98cfbf4","ABBY_070.basePlot.bgc","D16","ABBY","ABBY_070","2017-10-17T19:29Z","2018-05-16","soil","ABBY_070-M-10-0.5-20171017-GEN","Battelle Applied Genomics","ABBY_070-M-10-0.5-20171017-GEN-DNA1",,"BMI_Plate55WellG12","BMI_qPCR_SOP_v5",19.0,"N","ITS","fungi",70.4,8.8,"lB45gbSpt1qxKi2ug6CZBw==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
