uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"0212ae15-97c2-4ed5-bca0-d58e633fb231","SJER_048.basePlot.bgc","D17","SJER","SJER_048","2017-10-24T18:51Z","2018-04-18","soil","SJER_048-M-15.5-33.5-20171024-GEN","Battelle Applied Genomics","SJER_048-M-15.5-33.5-20171024-GEN-DNA1",,"BMI_Plate43WellE1","BMI_qPCR_SOP_v5",7.2,"N","16S","bacteria and archaea",69316.0,2919.4,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"427f2509-dd40-440f-a8f3-41fff8b94b0f","SJER_048.basePlot.bgc","D17","SJER","SJER_048","2017-10-24T18:51Z","2018-04-23","soil","SJER_048-M-15.5-33.5-20171024-GEN","Battelle Applied Genomics","SJER_048-M-15.5-33.5-20171024-GEN-DNA1",,"BMI_Plate43WellE1","BMI_qPCR_SOP_v5",7.2,"N","ITS","fungi",190.2,22.2,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"525c1226-fdea-4d4a-92da-84fdd1e69e25","SJER_048.basePlot.bgc","D17","SJER","SJER_048","2017-10-24T19:26Z","2018-04-18","soil","SJER_048-M-27.5-36-20171024-GEN","Battelle Applied Genomics","SJER_048-M-27.5-36-20171024-GEN-DNA1",,"BMI_Plate43WellE3","BMI_qPCR_SOP_v5",21.0,"N","16S","bacteria and archaea",66218.8,3792.6,"lB45gbSpt1qxKi2ug6CZBw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"d7e76c75-bb5b-4319-8ae4-cd61ae5ca2ae","SJER_048.basePlot.bgc","D17","SJER","SJER_048","2017-10-24T19:26Z","2018-04-23","soil","SJER_048-M-27.5-36-20171024-GEN","Battelle Applied Genomics","SJER_048-M-27.5-36-20171024-GEN-DNA1",,"BMI_Plate43WellE3","BMI_qPCR_SOP_v5",21.0,"N","ITS","fungi",130.5,11.9,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"8af5ea18-ad58-4635-b604-96434659e17e","SJER_048.basePlot.bgc","D17","SJER","SJER_048","2017-10-24T20:04Z","2018-04-18","soil","SJER_048-M-28-0.5-20171024-GEN","Battelle Applied Genomics","SJER_048-M-28-0.5-20171024-GEN-DNA1",,"BMI_Plate43WellE4","BMI_qPCR_SOP_v5",1.3,"N","ITS","fungi",44.9,2.9,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"ab75a3df-b172-48dd-a622-c79e09be1f00","SJER_048.basePlot.bgc","D17","SJER","SJER_048","2017-10-24T20:04Z","2018-04-18","soil","SJER_048-M-28-0.5-20171024-GEN","Battelle Applied Genomics","SJER_048-M-28-0.5-20171024-GEN-DNA1",,"BMI_Plate43WellE4","BMI_qPCR_SOP_v5",1.3,"N","16S","bacteria and archaea",108932.7,10631.2,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"c187f02a-cad1-4fe2-b0ff-d7107f6f2c36","SJER_045.basePlot.bgc","D17","SJER","SJER_045","2017-10-24T21:41Z","2018-04-23","soil","SJER_045-M-38-19.5-20171024-GEN","Battelle Applied Genomics","SJER_045-M-38-19.5-20171024-GEN-DNA1",,"BMI_Plate43WellC11","BMI_qPCR_SOP_v5",38.0,"N","16S","bacteria and archaea",94977.3,12568.8,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"0654862e-1112-4d83-8562-66f6971ce03e","SJER_045.basePlot.bgc","D17","SJER","SJER_045","2017-10-24T21:41Z","2018-04-19","soil","SJER_045-M-38-19.5-20171024-GEN","Battelle Applied Genomics","SJER_045-M-38-19.5-20171024-GEN-DNA1",,"BMI_Plate43WellC11","BMI_qPCR_SOP_v5",38.0,"N","ITS","fungi",44.3,5.4,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"7c7aa289-8951-41a3-a2d2-e4cb81175de7","SJER_045.basePlot.bgc","D17","SJER","SJER_045","2017-10-25T18:19Z","2018-04-19","soil","SJER_045-M-34.5-20.5-20171025-GEN","Battelle Applied Genomics","SJER_045-M-34.5-20.5-20171025-GEN-DNA1",,"BMI_Plate43WellC10","BMI_qPCR_SOP_v5",24.0,"N","ITS","fungi",40.0,4.7,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"b6f5add6-1494-4dc4-9d0d-5dfe785b2d5d","SJER_045.basePlot.bgc","D17","SJER","SJER_045","2017-10-25T18:19Z","2018-04-23","soil","SJER_045-M-34.5-20.5-20171025-GEN","Battelle Applied Genomics","SJER_045-M-34.5-20.5-20171025-GEN-DNA1",,"BMI_Plate43WellC10","BMI_qPCR_SOP_v5",24.0,"N","16S","bacteria and archaea",85692.5,12324.4,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
